Vout,Iout,Irradiance,Temperature,MaxVoltage,MaxPower
0.0013513370063749385,0.27026999999999995,231,10,20.810926439939905,5.191577717103338
0.004053986031624577,0.27026999999999995,231,10,20.810926439939905,5.191577717103338
0.006756580112697421,0.2702686216359936,231,10,20.810926439939905,5.191577717103338
0.009459109433834477,0.27026591898696833,231,10,20.810926439939905,5.191577717103338
0.012161570787075422,0.2702632163930251,231,10,20.810926439939905,5.191577717103338
0.014863967323656992,0.2702605138639742,231,10,20.810926439939905,5.191577717103338
0.017566301952465415,0.27025781140289123,231,10,20.810926439939905,5.191577717103338
0.020268577358623363,0.2702551090066249,231,10,20.810926439939905,5.191577717103338
0.022970796020676733,0.27025240667226635,231,10,20.810926439939905,5.191577717103338
0.025672960226488982,0.2702497043971304,231,10,20.810926439939905,5.191577717103338
0.02837507208791254,0.2702470021787386,231,10,20.810926439939905,5.191577717103338
0.031077133554331372,0.27024430001480304,231,10,20.810926439939905,5.191577717103338
0.033779146425161555,0.27024159790321184,231,10,20.810926439939905,5.191577717103338
0.036481112361390025,0.2702388958420156,231,10,20.810926439939905,5.191577717103338
0.03918303289622557,0.270236193829415,231,10,20.810926439939905,5.191577717103338
0.04188490944493026,0.27023349186374895,231,10,20.810926439939905,5.191577717103338
0.044586743313894436,0.2702307899434844,231,10,20.810926439939905,5.191577717103338
0.04728853570901352,0.27022808806720583,231,10,20.810926439939905,5.191577717103338
0.049990287743420195,0.2702253862336071,231,10,20.810926439939905,5.191577717103338
0.052692000444621745,0.2702226844414821,231,10,20.810926439939905,5.191577717103338
0.055393674761088196,0.2702199826897179,231,10,20.810926439939905,5.191577717103338
0.058095311568333606,0.27021728097728687,231,10,20.810926439939905,5.191577717103338
0.06079691167452936,0.2702145793032406,231,10,20.810926439939905,5.191577717103338
0.06349847582568563,0.2702118776667035,231,10,20.810926439939905,5.191577717103338
0.0662000047104342,0.2702091760668675,231,10,20.810926439939905,5.191577717103338
0.06890149896444317,0.2702064745029865,231,10,20.810926439939905,5.191577717103338
0.07160295917449215,0.2702037729743719,231,10,20.810926439939905,5.191577717103338
0.07430438588223376,0.2702010714803881,231,10,20.810926439939905,5.191577717103338
0.07700577958766579,0.27019837002044816,231,10,20.810926439939905,5.191577717103338
0.07970714075233619,0.27019566859401056,231,10,20.810926439939905,5.191577717103338
0.08240846980230147,0.2701929672005753,231,10,20.810926439939905,5.191577717103338
0.08510976713085744,0.27019026583968075,231,10,20.810926439939905,5.191577717103338
0.08781103310105985,0.2701875645109009,231,10,20.810926439939905,5.191577717103338
0.09051226804805124,0.2701848632138425,231,10,20.810926439939905,5.191577717103338
0.09321347228120842,0.27018216194814243,231,10,20.810926439939905,5.191577717103338
0.09591464608612511,0.2701794607134656,231,10,20.810926439939905,5.191577717103338
0.09861578972644172,0.27017675950950254,231,10,20.810926439939905,5.191577717103338
0.10131690344553457,0.27017405833596775,231,10,20.810926439939905,5.191577717103338
0.10401798746807495,0.27017135719259755,231,10,20.810926439939905,5.191577717103338
0.1067190420014684,0.2701686560791486,231,10,20.810926439939905,5.191577717103338
0.10942006723718306,0.27016595499539614,231,10,20.810926439939905,5.191577717103338
0.11212106335197607,0.2701632539411329,231,10,20.810926439939905,5.191577717103338
0.11482203050902529,0.27016055291616725,231,10,20.810926439939905,5.191577717103338
0.11752296885897422,0.2701578519203226,231,10,20.810926439939905,5.191577717103338
0.12022387854089636,0.2701551509534356,231,10,20.810926439939905,5.191577717103338
0.12292475968318552,0.2701524500153558,231,10,20.810926439939905,5.191577717103338
0.12562561240437733,0.27014974910594397,231,10,20.810926439939905,5.191577717103338
0.128326436813908,0.2701470482250718,231,10,20.810926439939905,5.191577717103338
0.13102723301281424,0.27014434737262066,231,10,20.810926439939905,5.191577717103338
0.13372800109437963,0.2701416465484812,231,10,20.810926439939905,5.191577717103338
0.13642874114473105,0.27013894575255243,231,10,20.810926439939905,5.191577717103338
0.1391294532433896,0.2701362449847409,231,10,20.810926439939905,5.191577717103338
0.14183013746377848,0.27013354424496067,231,10,20.810926439939905,5.191577717103338
0.1445307938736925,0.27013084353313205,231,10,20.810926439939905,5.191577717103338
0.14723142253573088,0.27012814284918174,231,10,20.810926439939905,5.191577717103338
0.14993202350769713,0.2701254421930419,231,10,20.810926439939905,5.191577717103338
0.15263259684296818,0.27012274156464994,231,10,20.810926439939905,5.191577717103338
0.15533314259083467,0.27012004096394804,231,10,20.810926439939905,5.191577717103338
0.15803366079681558,0.2701173403908828,231,10,20.810926439939905,5.191577717103338
0.1607341515029483,0.270114639845405,231,10,20.810926439939905,5.191577717103338
0.1634346147480567,0.2701119393274691,231,10,20.810926439939905,5.191577717103338
0.16613505056799807,0.270109238837033,231,10,20.810926439939905,5.191577717103338
0.16883545899589159,0.27010653837405796,231,10,20.810926439939905,5.191577717103338
0.17153584006232905,0.27010383793850806,231,10,20.810926439939905,5.191577717103338
0.17423619379556912,0.2701011375303502,231,10,20.810926439939905,5.191577717103338
0.1769365202217171,0.27009843714955384,231,10,20.810926439939905,5.191577717103338
0.17963681936489034,0.2700957367960906,231,10,20.810926439939905,5.191577717103338
0.1823370912473714,0.27009303646993454,231,10,20.810926439939905,5.191577717103338
0.1850373358897491,0.2700903361710614,231,10,20.810926439939905,5.191577717103338
0.18773755331104897,0.27008763589944895,231,10,20.810926439939905,5.191577717103338
0.19043774352885334,0.2700849356550766,231,10,20.810926439939905,5.191577717103338
0.19313790655941257,0.2700822354379253,231,10,20.810926439939905,5.191577717103338
