Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.01099439],[2.1989],1999,-25,[14.83679626]
[0.03298298],[2.1989],1999,-25,[14.83679626]
[0.05497117],[2.19889947],1999,-25,[14.83679626]
[0.076959],[2.19889886],1999,-25,[14.83679626]
[0.09894648],[2.19889825],1999,-25,[14.83679626]
[0.12093365],[2.19889764],1999,-25,[14.83679626]
[0.14292054],[2.19889703],1999,-25,[14.83679626]
[0.16490715],[2.19889642],1999,-25,[14.83679626]
[0.18689352],[2.19889581],1999,-25,[14.83679626]
[0.20887965],[2.1988952],1999,-25,[14.83679626]
[0.23086558],[2.19889459],1999,-25,[14.83679626]
[0.25285131],[2.19889397],1999,-25,[14.83679626]
[0.27483686],[2.19889336],1999,-25,[14.83679626]
[0.29682223],[2.19889275],1999,-25,[14.83679626]
[0.31880746],[2.19889214],1999,-25,[14.83679626]
[0.34079254],[2.19889153],1999,-25,[14.83679626]
[0.36277748],[2.19889092],1999,-25,[14.83679626]
[0.3847623],[2.19889031],1999,-25,[14.83679626]
[0.40674701],[2.1988897],1999,-25,[14.83679626]
[0.42873161],[2.19888908],1999,-25,[14.83679626]
[0.45071611],[2.19888847],1999,-25,[14.83679626]
[0.47270052],[2.19888786],1999,-25,[14.83679626]
[0.49468485],[2.19888725],1999,-25,[14.83679626]
[0.51666909],[2.19888664],1999,-25,[14.83679626]
[0.53865327],[2.19888603],1999,-25,[14.83679626]
[0.56063737],[2.19888542],1999,-25,[14.83679626]
[0.58262142],[2.19888481],1999,-25,[14.83679626]
[0.6046054],[2.19888419],1999,-25,[14.83679626]
[0.62658933],[2.19888358],1999,-25,[14.83679626]
[0.6485732],[2.19888297],1999,-25,[14.83679626]
[0.67055703],[2.19888236],1999,-25,[14.83679626]
[0.69254082],[2.19888175],1999,-25,[14.83679626]
[0.71452456],[2.19888114],1999,-25,[14.83679626]
[0.73650826],[2.19888053],1999,-25,[14.83679626]
[0.75849193],[2.19887992],1999,-25,[14.83679626]
[0.78047557],[2.1988793],1999,-25,[14.83679626]
[0.80245917],[2.19887869],1999,-25,[14.83679626]
[0.82444274],[2.19887808],1999,-25,[14.83679626]
[0.84642629],[2.19887747],1999,-25,[14.83679626]
[0.86840981],[2.19887686],1999,-25,[14.83679626]
[0.8903933],[2.19887625],1999,-25,[14.83679626]
[0.91237677],[2.19887563],1999,-25,[14.83679626]
[0.93436022],[2.19887502],1999,-25,[14.83679626]
[0.95634364],[2.19887441],1999,-25,[14.83679626]
[0.97832705],[2.1988738],1999,-25,[14.83679626]
[1.00031044],[2.19887319],1999,-25,[14.83679626]
[1.02229381],[2.19887258],1999,-25,[14.83679626]
[1.04427717],[2.19887197],1999,-25,[14.83679626]
