Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.01389859],[2.779744],2332,21,[20.21389735]
[0.0416955],[2.779744],2332,21,[20.21389735]
[0.06949192],[2.77974334],2332,21,[20.21389735]
[0.09728788],[2.77974256],2332,21,[20.21389735]
[0.1250834],[2.77974179],2332,21,[20.21389735]
[0.15287853],[2.77974102],2332,21,[20.21389735]
[0.18067329],[2.77974025],2332,21,[20.21389735]
[0.20846772],[2.77973948],2332,21,[20.21389735]
[0.23626183],[2.7797387],2332,21,[20.21389735]
[0.26405565],[2.77973793],2332,21,[20.21389735]
[0.2918492],[2.77973716],2332,21,[20.21389735]
[0.31964251],[2.77973639],2332,21,[20.21389735]
[0.34743558],[2.77973561],2332,21,[20.21389735]
[0.37522844],[2.77973484],2332,21,[20.21389735]
[0.40302111],[2.77973407],2332,21,[20.21389735]
[0.43081359],[2.7797333],2332,21,[20.21389735]
[0.45860591],[2.77973253],2332,21,[20.21389735]
[0.48639806],[2.77973175],2332,21,[20.21389735]
[0.51419008],[2.77973098],2332,21,[20.21389735]
[0.54198196],[2.77973021],2332,21,[20.21389735]
[0.56977371],[2.77972944],2332,21,[20.21389735]
[0.59756535],[2.77972867],2332,21,[20.21389735]
[0.62535688],[2.77972789],2332,21,[20.21389735]
[0.65314831],[2.77972712],2332,21,[20.21389735]
[0.68093965],[2.77972635],2332,21,[20.21389735]
[0.7087309],[2.77972558],2332,21,[20.21389735]
[0.73652207],[2.77972481],2332,21,[20.21389735]
[0.76431317],[2.77972403],2332,21,[20.21389735]
[0.7921042],[2.77972326],2332,21,[20.21389735]
[0.81989516],[2.77972249],2332,21,[20.21389735]
[0.84768607],[2.77972172],2332,21,[20.21389735]
[0.87547691],[2.77972095],2332,21,[20.21389735]
[0.90326771],[2.77972017],2332,21,[20.21389735]
[0.93105845],[2.7797194],2332,21,[20.21389735]
[0.95884915],[2.77971863],2332,21,[20.21389735]
[0.98663981],[2.77971786],2332,21,[20.21389735]
[1.01443043],[2.77971709],2332,21,[20.21389735]
[1.04222101],[2.77971631],2332,21,[20.21389735]
[1.07001155],[2.77971554],2332,21,[20.21389735]
[1.09780206],[2.77971477],2332,21,[20.21389735]
[1.12559254],[2.779714],2332,21,[20.21389735]
[1.15338299],[2.77971322],2332,21,[20.21389735]
[1.18117341],[2.77971245],2332,21,[20.21389735]
[1.20896381],[2.77971168],2332,21,[20.21389735]
[1.23675418],[2.77971091],2332,21,[20.21389735]
[1.26454453],[2.77971014],2332,21,[20.21389735]
[1.29233485],[2.77970936],2332,21,[20.21389735]
[1.32012516],[2.77970859],2332,21,[20.21389735]
[1.34791544],[2.77970782],2332,21,[20.21389735]
[1.3757057],[2.77970705],2332,21,[20.21389735]
[1.40349595],[2.77970628],2332,21,[20.21389735]
[1.43128618],[2.7797055],2332,21,[20.21389735]
[1.45907639],[2.77970473],2332,21,[20.21389735]
[1.48686659],[2.77970396],2332,21,[20.21389735]
[1.51465677],[2.77970319],2332,21,[20.21389735]
[1.54244693],[2.77970242],2332,21,[20.21389735]
[1.57023708],[2.77970164],2332,21,[20.21389735]
[1.59802722],[2.77970087],2332,21,[20.21389735]
[1.62581734],[2.7797001],2332,21,[20.21389735]
[1.65360746],[2.77969933],2332,21,[20.21389735]
[1.68139756],[2.77969856],2332,21,[20.21389735]
[1.70918764],[2.77969778],2332,21,[20.21389735]
[1.73697772],[2.77969701],2332,21,[20.21389735]
[1.76476778],[2.77969624],2332,21,[20.21389735]
[1.79255783],[2.77969547],2332,21,[20.21389735]
[1.82034787],[2.77969469],2332,21,[20.21389735]
[1.84813791],[2.77969392],2332,21,[20.21389735]
[1.87592793],[2.77969315],2332,21,[20.21389735]
[1.90371794],[2.77969238],2332,21,[20.21389735]
[1.93150794],[2.77969161],2332,21,[20.21389735]
[1.95929793],[2.77969083],2332,21,[20.21389735]
[1.98708791],[2.77969006],2332,21,[20.21389735]
[2.01487788],[2.77968929],2332,21,[20.21389735]
[2.04266784],[2.77968852],2332,21,[20.21389735]
[2.07045779],[2.77968775],2332,21,[20.21389735]
[2.09824774],[2.77968697],2332,21,[20.21389735]
[2.12603767],[2.7796862],2332,21,[20.21389735]
[2.1538276],[2.77968543],2332,21,[20.21389735]
[2.18161751],[2.77968466],2332,21,[20.21389735]
[2.20940742],[2.77968388],2332,21,[20.21389735]
[2.23719732],[2.77968311],2332,21,[20.21389735]
[2.26498721],[2.77968234],2332,21,[20.21389735]
[2.29277709],[2.77968157],2332,21,[20.21389735]
[2.32056696],[2.7796808],2332,21,[20.21389735]
[2.34835683],[2.77968002],2332,21,[20.21389735]
[2.37614669],[2.77967925],2332,21,[20.21389735]
[2.40393653],[2.77967848],2332,21,[20.21389735]
[2.43172637],[2.77967771],2332,21,[20.21389735]
[2.45951621],[2.77967693],2332,21,[20.21389735]
[2.48730603],[2.77967616],2332,21,[20.21389735]
[2.51509584],[2.77967539],2332,21,[20.21389735]
[2.54288565],[2.77967462],2332,21,[20.21389735]
[2.57067545],[2.77967385],2332,21,[20.21389735]
[2.59846524],[2.77967307],2332,21,[20.21389735]
[2.62625503],[2.7796723],2332,21,[20.21389735]
[2.6540448],[2.77967153],2332,21,[20.21389735]
[2.68183457],[2.77967076],2332,21,[20.21389735]
[2.70962433],[2.77966998],2332,21,[20.21389735]
[2.73741408],[2.77966921],2332,21,[20.21389735]
[2.76520382],[2.77966844],2332,21,[20.21389735]
[2.79299356],[2.77966767],2332,21,[20.21389735]
[2.82078328],[2.77966689],2332,21,[20.21389735]
[2.848573],[2.77966612],2332,21,[20.21389735]
[2.87636272],[2.77966535],2332,21,[20.21389735]
[2.90415242],[2.77966458],2332,21,[20.21389735]
[2.93194212],[2.7796638],2332,21,[20.21389735]
[2.9597318],[2.77966303],2332,21,[20.21389735]
[2.98752148],[2.77966226],2332,21,[20.21389735]
[3.01531116],[2.77966149],2332,21,[20.21389735]
[3.04310082],[2.77966071],2332,21,[20.21389735]
[3.07089048],[2.77965994],2332,21,[20.21389735]
[3.09868013],[2.77965917],2332,21,[20.21389735]
[3.12646977],[2.7796584],2332,21,[20.21389735]
[3.1542594],[2.77965762],2332,21,[20.21389735]
[3.18204903],[2.77965685],2332,21,[20.21389735]
[3.20983865],[2.77965608],2332,21,[20.21389735]
[3.23762826],[2.77965531],2332,21,[20.21389735]
[3.26541786],[2.77965453],2332,21,[20.21389735]
[3.29320745],[2.77965376],2332,21,[20.21389735]
[3.32099704],[2.77965299],2332,21,[20.21389735]
[3.34878662],[2.77965222],2332,21,[20.21389735]
[3.37657619],[2.77965144],2332,21,[20.21389735]
[3.40436575],[2.77965067],2332,21,[20.21389735]
[3.43215531],[2.7796499],2332,21,[20.21389735]
[3.45994486],[2.77964913],2332,21,[20.21389735]
[3.4877344],[2.77964835],2332,21,[20.21389735]
[3.51552393],[2.77964758],2332,21,[20.21389735]
[3.54331345],[2.77964681],2332,21,[20.21389735]
[3.57110297],[2.77964603],2332,21,[20.21389735]
[3.59889248],[2.77964526],2332,21,[20.21389735]
[3.62668198],[2.77964449],2332,21,[20.21389735]
[3.65447148],[2.77964372],2332,21,[20.21389735]
[3.68226096],[2.77964294],2332,21,[20.21389735]
