Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00595589],[1.19119],1001,20,[19.20980531]
[0.01786757],[1.19119],1001,20,[19.20980531]
[0.02977903],[1.19118972],1001,20,[19.20980531]
[0.04169029],[1.19118938],1001,20,[19.20980531]
[0.05360137],[1.19118905],1001,20,[19.20980531]
[0.06551228],[1.19118872],1001,20,[19.20980531]
[0.07742304],[1.19118839],1001,20,[19.20980531]
[0.08933364],[1.19118806],1001,20,[19.20980531]
[0.10124412],[1.19118773],1001,20,[19.20980531]
[0.11315447],[1.1911874],1001,20,[19.20980531]
[0.1250647],[1.19118707],1001,20,[19.20980531]
[0.13697483],[1.19118674],1001,20,[19.20980531]
[0.14888486],[1.19118641],1001,20,[19.20980531]
[0.1607948],[1.19118608],1001,20,[19.20980531]
[0.17270465],[1.19118574],1001,20,[19.20980531]
[0.18461443],[1.19118541],1001,20,[19.20980531]
[0.19652413],[1.19118508],1001,20,[19.20980531]
[0.20843377],[1.19118475],1001,20,[19.20980531]
[0.22034334],[1.19118442],1001,20,[19.20980531]
[0.23225286],[1.19118409],1001,20,[19.20980531]
[0.24416232],[1.19118376],1001,20,[19.20980531]
[0.25607173],[1.19118343],1001,20,[19.20980531]
[0.2679811],[1.1911831],1001,20,[19.20980531]
[0.27989043],[1.19118277],1001,20,[19.20980531]
[0.29179971],[1.19118244],1001,20,[19.20980531]
[0.30370896],[1.19118211],1001,20,[19.20980531]
[0.31561817],[1.19118177],1001,20,[19.20980531]
[0.32752736],[1.19118144],1001,20,[19.20980531]
[0.33943651],[1.19118111],1001,20,[19.20980531]
[0.35134563],[1.19118078],1001,20,[19.20980531]
[0.36325473],[1.19118045],1001,20,[19.20980531]
[0.37516381],[1.19118012],1001,20,[19.20980531]
[0.38707286],[1.19117979],1001,20,[19.20980531]
[0.39898189],[1.19117946],1001,20,[19.20980531]
[0.4108909],[1.19117913],1001,20,[19.20980531]
[0.4227999],[1.1911788],1001,20,[19.20980531]
[0.43470887],[1.19117847],1001,20,[19.20980531]
[0.44661783],[1.19117814],1001,20,[19.20980531]
[0.45852678],[1.1911778],1001,20,[19.20980531]
[0.47043571],[1.19117747],1001,20,[19.20980531]
[0.48234463],[1.19117714],1001,20,[19.20980531]
[0.49425353],[1.19117681],1001,20,[19.20980531]
[0.50616242],[1.19117648],1001,20,[19.20980531]
[0.5180713],[1.19117615],1001,20,[19.20980531]
[0.52998017],[1.19117582],1001,20,[19.20980531]
[0.54188904],[1.19117549],1001,20,[19.20980531]
[0.55379789],[1.19117516],1001,20,[19.20980531]
[0.56570673],[1.19117483],1001,20,[19.20980531]
[0.57761556],[1.1911745],1001,20,[19.20980531]
[0.58952439],[1.19117417],1001,20,[19.20980531]
[0.6014332],[1.19117383],1001,20,[19.20980531]
[0.61334201],[1.1911735],1001,20,[19.20980531]
[0.62525082],[1.19117317],1001,20,[19.20980531]
[0.63715961],[1.19117284],1001,20,[19.20980531]
[0.6490684],[1.19117251],1001,20,[19.20980531]
[0.66097718],[1.19117218],1001,20,[19.20980531]
[0.67288596],[1.19117185],1001,20,[19.20980531]
[0.68479473],[1.19117152],1001,20,[19.20980531]
[0.6967035],[1.19117119],1001,20,[19.20980531]
[0.70861226],[1.19117086],1001,20,[19.20980531]
[0.72052101],[1.19117053],1001,20,[19.20980531]
[0.73242976],[1.1911702],1001,20,[19.20980531]
[0.7443385],[1.19116986],1001,20,[19.20980531]
[0.75624724],[1.19116953],1001,20,[19.20980531]
[0.76815598],[1.1911692],1001,20,[19.20980531]
[0.78006471],[1.19116887],1001,20,[19.20980531]
[0.79197343],[1.19116854],1001,20,[19.20980531]
[0.80388215],[1.19116821],1001,20,[19.20980531]
[0.81579087],[1.19116788],1001,20,[19.20980531]
[0.82769958],[1.19116755],1001,20,[19.20980531]
[0.83960829],[1.19116722],1001,20,[19.20980531]
[0.85151699],[1.19116689],1001,20,[19.20980531]
[0.86342569],[1.19116656],1001,20,[19.20980531]
[0.87533439],[1.19116623],1001,20,[19.20980531]
[0.88724308],[1.1911659],1001,20,[19.20980531]
[0.89915176],[1.19116556],1001,20,[19.20980531]
[0.91106045],[1.19116523],1001,20,[19.20980531]
[0.92296913],[1.1911649],1001,20,[19.20980531]
[0.9348778],[1.19116457],1001,20,[19.20980531]
[0.94678648],[1.19116424],1001,20,[19.20980531]
[0.95869514],[1.19116391],1001,20,[19.20980531]
[0.97060381],[1.19116358],1001,20,[19.20980531]
[0.98251247],[1.19116325],1001,20,[19.20980531]
[0.99442113],[1.19116292],1001,20,[19.20980531]
[1.00632978],[1.19116259],1001,20,[19.20980531]
[1.01823843],[1.19116226],1001,20,[19.20980531]
[1.03014708],[1.19116192],1001,20,[19.20980531]
[1.04205572],[1.19116159],1001,20,[19.20980531]
[1.05396436],[1.19116126],1001,20,[19.20980531]
[1.065873],[1.19116093],1001,20,[19.20980531]
[1.07778163],[1.1911606],1001,20,[19.20980531]
[1.08969026],[1.19116027],1001,20,[19.20980531]
[1.10159889],[1.19115994],1001,20,[19.20980531]
[1.11350751],[1.19115961],1001,20,[19.20980531]
[1.12541613],[1.19115928],1001,20,[19.20980531]
[1.13732474],[1.19115895],1001,20,[19.20980531]
[1.14923335],[1.19115862],1001,20,[19.20980531]
[1.16114196],[1.19115829],1001,20,[19.20980531]
[1.17305057],[1.19115795],1001,20,[19.20980531]
[1.18495917],[1.19115762],1001,20,[19.20980531]
[1.19686777],[1.19115729],1001,20,[19.20980531]
[1.20877636],[1.19115696],1001,20,[19.20980531]
[1.22068495],[1.19115663],1001,20,[19.20980531]
[1.23259354],[1.1911563],1001,20,[19.20980531]
[1.24450213],[1.19115597],1001,20,[19.20980531]
[1.25641071],[1.19115564],1001,20,[19.20980531]
[1.26831929],[1.19115531],1001,20,[19.20980531]
[1.28022786],[1.19115498],1001,20,[19.20980531]
[1.29213643],[1.19115465],1001,20,[19.20980531]
[1.304045],[1.19115432],1001,20,[19.20980531]
[1.31595357],[1.19115398],1001,20,[19.20980531]
[1.32786213],[1.19115365],1001,20,[19.20980531]
[1.33977069],[1.19115332],1001,20,[19.20980531]
[1.35167924],[1.19115299],1001,20,[19.20980531]
[1.36358779],[1.19115266],1001,20,[19.20980531]
[1.37549634],[1.19115233],1001,20,[19.20980531]
[1.38740489],[1.191152],1001,20,[19.20980531]
[1.39931343],[1.19115167],1001,20,[19.20980531]
[1.41122197],[1.19115134],1001,20,[19.20980531]
[1.4231305],[1.19115101],1001,20,[19.20980531]
[1.43503903],[1.19115068],1001,20,[19.20980531]
[1.44694756],[1.19115035],1001,20,[19.20980531]
[1.45885608],[1.19115001],1001,20,[19.20980531]
[1.47076461],[1.19114968],1001,20,[19.20980531]
[1.48267312],[1.19114935],1001,20,[19.20980531]
[1.49458164],[1.19114902],1001,20,[19.20980531]
[1.50649015],[1.19114869],1001,20,[19.20980531]
[1.51839866],[1.19114836],1001,20,[19.20980531]
[1.53030716],[1.19114803],1001,20,[19.20980531]
[1.54221567],[1.1911477],1001,20,[19.20980531]
[1.55412416],[1.19114737],1001,20,[19.20980531]
[1.56603266],[1.19114704],1001,20,[19.20980531]
[1.57794115],[1.19114671],1001,20,[19.20980531]
[1.58984964],[1.19114638],1001,20,[19.20980531]
[1.60175812],[1.19114604],1001,20,[19.20980531]
[1.61366661],[1.19114571],1001,20,[19.20980531]
[1.62557508],[1.19114538],1001,20,[19.20980531]
[1.63748356],[1.19114505],1001,20,[19.20980531]
[1.64939203],[1.19114472],1001,20,[19.20980531]
[1.6613005],[1.19114439],1001,20,[19.20980531]
[1.67320896],[1.19114406],1001,20,[19.20980531]
[1.68511743],[1.19114373],1001,20,[19.20980531]
[1.69702588],[1.1911434],1001,20,[19.20980531]
[1.70893434],[1.19114307],1001,20,[19.20980531]
[1.72084279],[1.19114274],1001,20,[19.20980531]
[1.73275124],[1.1911424],1001,20,[19.20980531]
[1.74465969],[1.19114207],1001,20,[19.20980531]
[1.75656813],[1.19114174],1001,20,[19.20980531]
[1.76847657],[1.19114141],1001,20,[19.20980531]
[1.780385],[1.19114108],1001,20,[19.20980531]
[1.79229343],[1.19114075],1001,20,[19.20980531]
[1.80420186],[1.19114042],1001,20,[19.20980531]
[1.81611029],[1.19114009],1001,20,[19.20980531]
[1.82801871],[1.19113976],1001,20,[19.20980531]
[1.83992713],[1.19113943],1001,20,[19.20980531]
[1.85183554],[1.1911391],1001,20,[19.20980531]
[1.86374396],[1.19113877],1001,20,[19.20980531]
[1.87565237],[1.19113843],1001,20,[19.20980531]
[1.88756077],[1.1911381],1001,20,[19.20980531]
[1.89946917],[1.19113777],1001,20,[19.20980531]
[1.91137757],[1.19113744],1001,20,[19.20980531]
[1.92328597],[1.19113711],1001,20,[19.20980531]
[1.93519436],[1.19113678],1001,20,[19.20980531]
[1.94710275],[1.19113645],1001,20,[19.20980531]
[1.95901114],[1.19113612],1001,20,[19.20980531]
[1.97091952],[1.19113579],1001,20,[19.20980531]
[1.9828279],[1.19113546],1001,20,[19.20980531]
[1.99473627],[1.19113513],1001,20,[19.20980531]
[2.00664465],[1.19113479],1001,20,[19.20980531]
[2.01855301],[1.19113446],1001,20,[19.20980531]
[2.03046138],[1.19113413],1001,20,[19.20980531]
[2.04236974],[1.1911338],1001,20,[19.20980531]
[2.0542781],[1.19113347],1001,20,[19.20980531]
[2.06618646],[1.19113314],1001,20,[19.20980531]
[2.07809481],[1.19113281],1001,20,[19.20980531]
[2.09000316],[1.19113248],1001,20,[19.20980531]
[2.10191151],[1.19113215],1001,20,[19.20980531]
[2.11381985],[1.19113182],1001,20,[19.20980531]
[2.12572819],[1.19113149],1001,20,[19.20980531]
[2.13763652],[1.19113115],1001,20,[19.20980531]
[2.14954486],[1.19113082],1001,20,[19.20980531]
[2.16145319],[1.19113049],1001,20,[19.20980531]
[2.17336151],[1.19113016],1001,20,[19.20980531]
[2.18526984],[1.19112983],1001,20,[19.20980531]
[2.19717816],[1.1911295],1001,20,[19.20980531]
[2.20908647],[1.19112917],1001,20,[19.20980531]
[2.22099478],[1.19112884],1001,20,[19.20980531]
[2.23290309],[1.19112851],1001,20,[19.20980531]
[2.2448114],[1.19112818],1001,20,[19.20980531]
[2.2567197],[1.19112785],1001,20,[19.20980531]
[2.268628],[1.19112751],1001,20,[19.20980531]
[2.2805363],[1.19112718],1001,20,[19.20980531]
[2.29244459],[1.19112685],1001,20,[19.20980531]
[2.30435288],[1.19112652],1001,20,[19.20980531]
[2.31626117],[1.19112619],1001,20,[19.20980531]
[2.32816945],[1.19112586],1001,20,[19.20980531]
[2.34007773],[1.19112553],1001,20,[19.20980531]
[2.35198601],[1.1911252],1001,20,[19.20980531]
[2.36389428],[1.19112487],1001,20,[19.20980531]
[2.37580255],[1.19112454],1001,20,[19.20980531]
[2.38771082],[1.19112421],1001,20,[19.20980531]
[2.39961908],[1.19112387],1001,20,[19.20980531]
[2.41152734],[1.19112354],1001,20,[19.20980531]
[2.4234356],[1.19112321],1001,20,[19.20980531]
[2.43534385],[1.19112288],1001,20,[19.20980531]
[2.4472521],[1.19112255],1001,20,[19.20980531]
[2.45916035],[1.19112222],1001,20,[19.20980531]
[2.47106859],[1.19112189],1001,20,[19.20980531]
[2.48297683],[1.19112156],1001,20,[19.20980531]
[2.49488507],[1.19112123],1001,20,[19.20980531]
[2.5067933],[1.1911209],1001,20,[19.20980531]
[2.51870153],[1.19112057],1001,20,[19.20980531]
[2.53060976],[1.19112023],1001,20,[19.20980531]
[2.54251798],[1.1911199],1001,20,[19.20980531]
[2.5544262],[1.19111957],1001,20,[19.20980531]
[2.56633442],[1.19111924],1001,20,[19.20980531]
[2.57824263],[1.19111891],1001,20,[19.20980531]
[2.59015084],[1.19111858],1001,20,[19.20980531]
[2.60205905],[1.19111825],1001,20,[19.20980531]
[2.61396726],[1.19111792],1001,20,[19.20980531]
[2.62587546],[1.19111759],1001,20,[19.20980531]
[2.63778365],[1.19111726],1001,20,[19.20980531]
[2.64969185],[1.19111692],1001,20,[19.20980531]
[2.66160004],[1.19111659],1001,20,[19.20980531]
[2.67350823],[1.19111626],1001,20,[19.20980531]
[2.68541641],[1.19111593],1001,20,[19.20980531]
[2.69732459],[1.1911156],1001,20,[19.20980531]
[2.70923277],[1.19111527],1001,20,[19.20980531]
[2.72114094],[1.19111494],1001,20,[19.20980531]
[2.73304911],[1.19111461],1001,20,[19.20980531]
[2.74495728],[1.19111428],1001,20,[19.20980531]
[2.75686544],[1.19111395],1001,20,[19.20980531]
[2.7687736],[1.19111361],1001,20,[19.20980531]
[2.78068176],[1.19111328],1001,20,[19.20980531]
[2.79258992],[1.19111295],1001,20,[19.20980531]
[2.80449807],[1.19111262],1001,20,[19.20980531]
[2.81640621],[1.19111229],1001,20,[19.20980531]
[2.82831436],[1.19111196],1001,20,[19.20980531]
[2.8402225],[1.19111163],1001,20,[19.20980531]
[2.85213064],[1.1911113],1001,20,[19.20980531]
[2.86403877],[1.19111097],1001,20,[19.20980531]
[2.8759469],[1.19111064],1001,20,[19.20980531]
[2.88785503],[1.1911103],1001,20,[19.20980531]
[2.89976315],[1.19110997],1001,20,[19.20980531]
[2.91167127],[1.19110964],1001,20,[19.20980531]
[2.92357939],[1.19110931],1001,20,[19.20980531]
[2.93548751],[1.19110898],1001,20,[19.20980531]
[2.94739562],[1.19110865],1001,20,[19.20980531]
[2.95930373],[1.19110832],1001,20,[19.20980531]
[2.97121183],[1.19110799],1001,20,[19.20980531]
[2.98311993],[1.19110766],1001,20,[19.20980531]
[2.99502803],[1.19110733],1001,20,[19.20980531]
[3.00693612],[1.19110699],1001,20,[19.20980531]
[3.01884422],[1.19110666],1001,20,[19.20980531]
[3.0307523],[1.19110633],1001,20,[19.20980531]
[3.04266039],[1.191106],1001,20,[19.20980531]
[3.05456847],[1.19110567],1001,20,[19.20980531]
[3.06647655],[1.19110534],1001,20,[19.20980531]
[3.07838462],[1.19110501],1001,20,[19.20980531]
[3.09029269],[1.19110468],1001,20,[19.20980531]
[3.10220076],[1.19110435],1001,20,[19.20980531]
[3.11410883],[1.19110402],1001,20,[19.20980531]
[3.12601689],[1.19110368],1001,20,[19.20980531]
[3.13792495],[1.19110335],1001,20,[19.20980531]
[3.149833],[1.19110302],1001,20,[19.20980531]
[3.16174105],[1.19110269],1001,20,[19.20980531]
[3.1736491],[1.19110236],1001,20,[19.20980531]
[3.18555715],[1.19110203],1001,20,[19.20980531]
[3.19746519],[1.1911017],1001,20,[19.20980531]
[3.20937323],[1.19110137],1001,20,[19.20980531]
[3.22128126],[1.19110104],1001,20,[19.20980531]
[3.23318929],[1.1911007],1001,20,[19.20980531]
[3.24509732],[1.19110037],1001,20,[19.20980531]
[3.25700535],[1.19110004],1001,20,[19.20980531]
[3.26891337],[1.19109971],1001,20,[19.20980531]
[3.28082139],[1.19109938],1001,20,[19.20980531]
[3.2927294],[1.19109905],1001,20,[19.20980531]
[3.30463741],[1.19109872],1001,20,[19.20980531]
[3.31654542],[1.19109839],1001,20,[19.20980531]
[3.32845343],[1.19109806],1001,20,[19.20980531]
[3.34036143],[1.19109772],1001,20,[19.20980531]
[3.35226943],[1.19109739],1001,20,[19.20980531]
[3.36417742],[1.19109706],1001,20,[19.20980531]
[3.37608541],[1.19109673],1001,20,[19.20980531]
[3.3879934],[1.1910964],1001,20,[19.20980531]
[3.39990139],[1.19109607],1001,20,[19.20980531]
[3.41180937],[1.19109574],1001,20,[19.20980531]
[3.42371735],[1.19109541],1001,20,[19.20980531]
[3.43562532],[1.19109508],1001,20,[19.20980531]
[3.4475333],[1.19109474],1001,20,[19.20980531]
