Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00336557],[0.67312],601,-15,[14.85807239]
[0.01009664],[0.67312],601,-15,[14.85807239]
[0.01682759],[0.67311984],601,-15,[14.85807239]
[0.02355843],[0.67311965],601,-15,[14.85807239]
[0.03028917],[0.67311947],601,-15,[14.85807239]
[0.03701981],[0.67311928],601,-15,[14.85807239]
[0.04375036],[0.67311909],601,-15,[14.85807239]
[0.05048083],[0.6731189],601,-15,[14.85807239]
[0.05721123],[0.67311872],601,-15,[14.85807239]
[0.06394155],[0.67311853],601,-15,[14.85807239]
[0.07067181],[0.67311834],601,-15,[14.85807239]
[0.07740201],[0.67311816],601,-15,[14.85807239]
[0.08413215],[0.67311797],601,-15,[14.85807239]
[0.09086224],[0.67311778],601,-15,[14.85807239]
[0.09759229],[0.67311759],601,-15,[14.85807239]
[0.10432228],[0.67311741],601,-15,[14.85807239]
[0.11105224],[0.67311722],601,-15,[14.85807239]
[0.11778216],[0.67311703],601,-15,[14.85807239]
[0.12451205],[0.67311685],601,-15,[14.85807239]
[0.1312419],[0.67311666],601,-15,[14.85807239]
[0.13797173],[0.67311647],601,-15,[14.85807239]
[0.14470152],[0.67311629],601,-15,[14.85807239]
[0.15143129],[0.6731161],601,-15,[14.85807239]
[0.15816104],[0.67311591],601,-15,[14.85807239]
[0.16489076],[0.67311572],601,-15,[14.85807239]
[0.17162046],[0.67311554],601,-15,[14.85807239]
[0.17835014],[0.67311535],601,-15,[14.85807239]
[0.18507981],[0.67311516],601,-15,[14.85807239]
[0.19180945],[0.67311498],601,-15,[14.85807239]
[0.19853909],[0.67311479],601,-15,[14.85807239]
[0.2052687],[0.6731146],601,-15,[14.85807239]
[0.21199831],[0.67311442],601,-15,[14.85807239]
[0.2187279],[0.67311423],601,-15,[14.85807239]
[0.22545748],[0.67311404],601,-15,[14.85807239]
[0.23218704],[0.67311385],601,-15,[14.85807239]
[0.2389166],[0.67311367],601,-15,[14.85807239]
[0.24564615],[0.67311348],601,-15,[14.85807239]
[0.25237569],[0.67311329],601,-15,[14.85807239]
[0.25910522],[0.67311311],601,-15,[14.85807239]
[0.26583474],[0.67311292],601,-15,[14.85807239]
[0.27256425],[0.67311273],601,-15,[14.85807239]
[0.27929376],[0.67311255],601,-15,[14.85807239]
[0.28602326],[0.67311236],601,-15,[14.85807239]
[0.29275276],[0.67311217],601,-15,[14.85807239]
[0.29948224],[0.67311198],601,-15,[14.85807239]
[0.30621173],[0.6731118],601,-15,[14.85807239]
[0.3129412],[0.67311161],601,-15,[14.85807239]
[0.31967068],[0.67311142],601,-15,[14.85807239]
[0.32640014],[0.67311124],601,-15,[14.85807239]
[0.33312961],[0.67311105],601,-15,[14.85807239]
[0.33985906],[0.67311086],601,-15,[14.85807239]
[0.34658852],[0.67311068],601,-15,[14.85807239]
[0.35331797],[0.67311049],601,-15,[14.85807239]
[0.36004741],[0.6731103],601,-15,[14.85807239]
[0.36677685],[0.67311011],601,-15,[14.85807239]
[0.37350629],[0.67310993],601,-15,[14.85807239]
[0.38023573],[0.67310974],601,-15,[14.85807239]
[0.38696516],[0.67310955],601,-15,[14.85807239]
[0.39369459],[0.67310937],601,-15,[14.85807239]
[0.40042401],[0.67310918],601,-15,[14.85807239]
[0.40715344],[0.67310899],601,-15,[14.85807239]
[0.41388286],[0.67310881],601,-15,[14.85807239]
[0.42061227],[0.67310862],601,-15,[14.85807239]
[0.42734169],[0.67310843],601,-15,[14.85807239]
[0.4340711],[0.67310824],601,-15,[14.85807239]
[0.4408005],[0.67310806],601,-15,[14.85807239]
[0.44752991],[0.67310787],601,-15,[14.85807239]
[0.45425931],[0.67310768],601,-15,[14.85807239]
[0.46098871],[0.6731075],601,-15,[14.85807239]
[0.46771811],[0.67310731],601,-15,[14.85807239]
[0.47444751],[0.67310712],601,-15,[14.85807239]
[0.4811769],[0.67310694],601,-15,[14.85807239]
[0.48790629],[0.67310675],601,-15,[14.85807239]
[0.49463568],[0.67310656],601,-15,[14.85807239]
[0.50136507],[0.67310637],601,-15,[14.85807239]
[0.50809445],[0.67310619],601,-15,[14.85807239]
[0.51482384],[0.673106],601,-15,[14.85807239]
[0.52155322],[0.67310581],601,-15,[14.85807239]
[0.5282826],[0.67310563],601,-15,[14.85807239]
[0.53501197],[0.67310544],601,-15,[14.85807239]
[0.54174135],[0.67310525],601,-15,[14.85807239]
[0.54847072],[0.67310507],601,-15,[14.85807239]
[0.55520009],[0.67310488],601,-15,[14.85807239]
