Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.01500586],[3.0012],2501,25,[20.74861164]
[0.04501729],[3.0012],2501,25,[20.74861164]
[0.07502819],[3.00119928],2501,25,[20.74861164]
[0.10503858],[3.00119845],2501,25,[20.74861164]
[0.13504852],[3.00119762],2501,25,[20.74861164]
[0.16505802],[3.00119678],2501,25,[20.74861164]
[0.19506713],[3.00119595],2501,25,[20.74861164]
[0.22507588],[3.00119511],2501,25,[20.74861164]
[0.25508428],[3.00119428],2501,25,[20.74861164]
[0.28509237],[3.00119345],2501,25,[20.74861164]
[0.31510018],[3.00119261],2501,25,[20.74861164]
[0.34510771],[3.00119178],2501,25,[20.74861164]
[0.375115],[3.00119095],2501,25,[20.74861164]
[0.40512206],[3.00119011],2501,25,[20.74861164]
[0.4351289],[3.00118928],2501,25,[20.74861164]
[0.46513555],[3.00118845],2501,25,[20.74861164]
[0.49514202],[3.00118761],2501,25,[20.74861164]
[0.52514831],[3.00118678],2501,25,[20.74861164]
[0.55515445],[3.00118595],2501,25,[20.74861164]
[0.58516045],[3.00118511],2501,25,[20.74861164]
[0.61516631],[3.00118428],2501,25,[20.74861164]
[0.64517205],[3.00118344],2501,25,[20.74861164]
[0.67517767],[3.00118261],2501,25,[20.74861164]
[0.70518318],[3.00118178],2501,25,[20.74861164]
[0.73518859],[3.00118094],2501,25,[20.74861164]
[0.76519391],[3.00118011],2501,25,[20.74861164]
[0.79519914],[3.00117928],2501,25,[20.74861164]
[0.82520429],[3.00117844],2501,25,[20.74861164]
[0.85520937],[3.00117761],2501,25,[20.74861164]
[0.88521438],[3.00117678],2501,25,[20.74861164]
[0.91521932],[3.00117594],2501,25,[20.74861164]
[0.94522421],[3.00117511],2501,25,[20.74861164]
[0.97522903],[3.00117428],2501,25,[20.74861164]
[1.0052338],[3.00117344],2501,25,[20.74861164]
[1.03523853],[3.00117261],2501,25,[20.74861164]
[1.0652432],[3.00117177],2501,25,[20.74861164]
[1.09524784],[3.00117094],2501,25,[20.74861164]
[1.12525243],[3.00117011],2501,25,[20.74861164]
[1.15525698],[3.00116927],2501,25,[20.74861164]
[1.1852615],[3.00116844],2501,25,[20.74861164]
[1.21526599],[3.00116761],2501,25,[20.74861164]
[1.24527044],[3.00116677],2501,25,[20.74861164]
[1.27527486],[3.00116594],2501,25,[20.74861164]
[1.30527926],[3.00116511],2501,25,[20.74861164]
[1.33528362],[3.00116427],2501,25,[20.74861164]
[1.36528797],[3.00116344],2501,25,[20.74861164]
[1.39529228],[3.00116261],2501,25,[20.74861164]
[1.42529658],[3.00116177],2501,25,[20.74861164]
[1.45530085],[3.00116094],2501,25,[20.74861164]
[1.48530511],[3.00116011],2501,25,[20.74861164]
[1.51530934],[3.00115927],2501,25,[20.74861164]
[1.54531355],[3.00115844],2501,25,[20.74861164]
[1.57531775],[3.0011576],2501,25,[20.74861164]
[1.60532193],[3.00115677],2501,25,[20.74861164]
[1.63532609],[3.00115594],2501,25,[20.74861164]
[1.66533024],[3.0011551],2501,25,[20.74861164]
[1.69533437],[3.00115427],2501,25,[20.74861164]
[1.72533848],[3.00115344],2501,25,[20.74861164]
[1.75534258],[3.0011526],2501,25,[20.74861164]
[1.78534667],[3.00115177],2501,25,[20.74861164]
[1.81535075],[3.00115094],2501,25,[20.74861164]
[1.84535481],[3.0011501],2501,25,[20.74861164]
[1.87535886],[3.00114927],2501,25,[20.74861164]
[1.90536289],[3.00114843],2501,25,[20.74861164]
[1.93536691],[3.0011476],2501,25,[20.74861164]
[1.96537093],[3.00114677],2501,25,[20.74861164]
[1.99537493],[3.00114593],2501,25,[20.74861164]
[2.02537892],[3.0011451],2501,25,[20.74861164]
[2.0553829],[3.00114427],2501,25,[20.74861164]
[2.08538686],[3.00114343],2501,25,[20.74861164]
[2.11539082],[3.0011426],2501,25,[20.74861164]
[2.14539477],[3.00114177],2501,25,[20.74861164]
[2.1753987],[3.00114093],2501,25,[20.74861164]
[2.20540263],[3.0011401],2501,25,[20.74861164]
[2.23540654],[3.00113926],2501,25,[20.74861164]
[2.26541045],[3.00113843],2501,25,[20.74861164]
[2.29541435],[3.0011376],2501,25,[20.74861164]
[2.32541823],[3.00113676],2501,25,[20.74861164]
[2.35542211],[3.00113593],2501,25,[20.74861164]
[2.38542598],[3.0011351],2501,25,[20.74861164]
[2.41542984],[3.00113426],2501,25,[20.74861164]
[2.44543368],[3.00113343],2501,25,[20.74861164]
[2.47543752],[3.00113259],2501,25,[20.74861164]
[2.50544135],[3.00113176],2501,25,[20.74861164]
[2.53544518],[3.00113093],2501,25,[20.74861164]
[2.56544899],[3.00113009],2501,25,[20.74861164]
[2.59545279],[3.00112926],2501,25,[20.74861164]
[2.62545659],[3.00112843],2501,25,[20.74861164]
[2.65546037],[3.00112759],2501,25,[20.74861164]
[2.68546415],[3.00112676],2501,25,[20.74861164]
[2.71546792],[3.00112592],2501,25,[20.74861164]
[2.74547168],[3.00112509],2501,25,[20.74861164]
[2.77547543],[3.00112426],2501,25,[20.74861164]
[2.80547917],[3.00112342],2501,25,[20.74861164]
[2.8354829],[3.00112259],2501,25,[20.74861164]
[2.86548663],[3.00112176],2501,25,[20.74861164]
[2.89549034],[3.00112092],2501,25,[20.74861164]
[2.92549405],[3.00112009],2501,25,[20.74861164]
[2.95549775],[3.00111925],2501,25,[20.74861164]
[2.98550144],[3.00111842],2501,25,[20.74861164]
[3.01550512],[3.00111759],2501,25,[20.74861164]
[3.04550879],[3.00111675],2501,25,[20.74861164]
[3.07551246],[3.00111592],2501,25,[20.74861164]
[3.10551611],[3.00111508],2501,25,[20.74861164]
[3.13551976],[3.00111425],2501,25,[20.74861164]
[3.1655234],[3.00111342],2501,25,[20.74861164]
[3.19552703],[3.00111258],2501,25,[20.74861164]
[3.22553065],[3.00111175],2501,25,[20.74861164]
[3.25553427],[3.00111091],2501,25,[20.74861164]
[3.28553787],[3.00111008],2501,25,[20.74861164]
[3.31554147],[3.00110925],2501,25,[20.74861164]
[3.34554506],[3.00110841],2501,25,[20.74861164]
[3.37554864],[3.00110758],2501,25,[20.74861164]
[3.40555221],[3.00110674],2501,25,[20.74861164]
[3.43555577],[3.00110591],2501,25,[20.74861164]
[3.46555933],[3.00110508],2501,25,[20.74861164]
[3.49556287],[3.00110424],2501,25,[20.74861164]
[3.52556641],[3.00110341],2501,25,[20.74861164]
[3.55556994],[3.00110257],2501,25,[20.74861164]
[3.58557346],[3.00110174],2501,25,[20.74861164]
[3.61557697],[3.0011009],2501,25,[20.74861164]
[3.64558048],[3.00110007],2501,25,[20.74861164]
[3.67558398],[3.00109924],2501,25,[20.74861164]
[3.70558746],[3.0010984],2501,25,[20.74861164]
[3.73559094],[3.00109757],2501,25,[20.74861164]
