Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00055549],[0.1111],101,-25,[12.20900154]
[0.00166647],[0.1111],101,-25,[12.20900154]
[0.00277743],[0.11109997],101,-25,[12.20900154]
[0.00388837],[0.11109994],101,-25,[12.20900154]
[0.0049993],[0.11109991],101,-25,[12.20900154]
[0.0061102],[0.11109988],101,-25,[12.20900154]
[0.0072211],[0.11109985],101,-25,[12.20900154]
[0.00833198],[0.11109982],101,-25,[12.20900154]
[0.00944284],[0.11109979],101,-25,[12.20900154]
[0.0105537],[0.11109976],101,-25,[12.20900154]
[0.01166454],[0.11109973],101,-25,[12.20900154]
[0.01277538],[0.1110997],101,-25,[12.20900154]
[0.0138862],[0.11109966],101,-25,[12.20900154]
[0.01499702],[0.11109963],101,-25,[12.20900154]
[0.01610783],[0.1110996],101,-25,[12.20900154]
[0.01721863],[0.11109957],101,-25,[12.20900154]
[0.01832943],[0.11109954],101,-25,[12.20900154]
[0.01944022],[0.11109951],101,-25,[12.20900154]
[0.020551],[0.11109948],101,-25,[12.20900154]
[0.02166178],[0.11109945],101,-25,[12.20900154]
[0.02277255],[0.11109942],101,-25,[12.20900154]
[0.02388332],[0.11109939],101,-25,[12.20900154]
[0.02499408],[0.11109936],101,-25,[12.20900154]
[0.02610484],[0.11109933],101,-25,[12.20900154]
[0.0272156],[0.11109929],101,-25,[12.20900154]
[0.02832635],[0.11109926],101,-25,[12.20900154]
[0.0294371],[0.11109923],101,-25,[12.20900154]
[0.03054785],[0.1110992],101,-25,[12.20900154]
[0.03165859],[0.11109917],101,-25,[12.20900154]
[0.03276933],[0.11109914],101,-25,[12.20900154]
[0.03388007],[0.11109911],101,-25,[12.20900154]
[0.03499081],[0.11109908],101,-25,[12.20900154]
[0.03610154],[0.11109905],101,-25,[12.20900154]
[0.03721227],[0.11109902],101,-25,[12.20900154]
[0.038323],[0.11109899],101,-25,[12.20900154]
[0.03943373],[0.11109895],101,-25,[12.20900154]
[0.04054446],[0.11109892],101,-25,[12.20900154]
[0.04165519],[0.11109889],101,-25,[12.20900154]
[0.04276591],[0.11109886],101,-25,[12.20900154]
[0.04387663],[0.11109883],101,-25,[12.20900154]
[0.04498736],[0.1110988],101,-25,[12.20900154]
[0.04609808],[0.11109877],101,-25,[12.20900154]
[0.0472088],[0.11109874],101,-25,[12.20900154]
[0.04831951],[0.11109871],101,-25,[12.20900154]
[0.04943023],[0.11109868],101,-25,[12.20900154]
[0.05054095],[0.11109865],101,-25,[12.20900154]
[0.05165166],[0.11109862],101,-25,[12.20900154]
[0.05276238],[0.11109858],101,-25,[12.20900154]
[0.05387309],[0.11109855],101,-25,[12.20900154]
[0.05498381],[0.11109852],101,-25,[12.20900154]
[0.05609452],[0.11109849],101,-25,[12.20900154]
[0.05720523],[0.11109846],101,-25,[12.20900154]
[0.05831594],[0.11109843],101,-25,[12.20900154]
[0.05942665],[0.1110984],101,-25,[12.20900154]
[0.06053736],[0.11109837],101,-25,[12.20900154]
[0.06164807],[0.11109834],101,-25,[12.20900154]
[0.06275878],[0.11109831],101,-25,[12.20900154]
[0.06386949],[0.11109828],101,-25,[12.20900154]
[0.06498019],[0.11109824],101,-25,[12.20900154]
[0.0660909],[0.11109821],101,-25,[12.20900154]
[0.06720161],[0.11109818],101,-25,[12.20900154]
[0.06831231],[0.11109815],101,-25,[12.20900154]
[0.06942302],[0.11109812],101,-25,[12.20900154]
[0.07053373],[0.11109809],101,-25,[12.20900154]
[0.07164443],[0.11109806],101,-25,[12.20900154]
[0.07275513],[0.11109803],101,-25,[12.20900154]
[0.07386584],[0.111098],101,-25,[12.20900154]
[0.07497654],[0.11109797],101,-25,[12.20900154]
[0.07608724],[0.11109794],101,-25,[12.20900154]
[0.07719795],[0.1110979],101,-25,[12.20900154]
[0.07830865],[0.11109787],101,-25,[12.20900154]
[0.07941935],[0.11109784],101,-25,[12.20900154]
[0.08053005],[0.11109781],101,-25,[12.20900154]
[0.08164075],[0.11109778],101,-25,[12.20900154]
[0.08275145],[0.11109775],101,-25,[12.20900154]
[0.08386216],[0.11109772],101,-25,[12.20900154]
[0.08497286],[0.11109769],101,-25,[12.20900154]
[0.08608355],[0.11109766],101,-25,[12.20900154]
[0.08719425],[0.11109763],101,-25,[12.20900154]
[0.08830495],[0.1110976],101,-25,[12.20900154]
[0.08941565],[0.11109757],101,-25,[12.20900154]
[0.09052635],[0.11109753],101,-25,[12.20900154]
[0.09163705],[0.1110975],101,-25,[12.20900154]
[0.09274775],[0.11109747],101,-25,[12.20900154]
[0.09385844],[0.11109744],101,-25,[12.20900154]
[0.09496914],[0.11109741],101,-25,[12.20900154]
[0.09607984],[0.11109738],101,-25,[12.20900154]
[0.09719053],[0.11109735],101,-25,[12.20900154]
[0.09830123],[0.11109732],101,-25,[12.20900154]
[0.09941192],[0.11109729],101,-25,[12.20900154]
[0.10052262],[0.11109726],101,-25,[12.20900154]
