Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00298092],[0.59619],501,20,[18.48111363]
[0.00894271],[0.59619],501,20,[18.48111363]
[0.01490439],[0.59618986],501,20,[18.48111363]
[0.02086597],[0.59618969],501,20,[18.48111363]
[0.02682746],[0.59618953],501,20,[18.48111363]
[0.03278887],[0.59618936],501,20,[18.48111363]
[0.03875019],[0.5961892],501,20,[18.48111363]
[0.04471144],[0.59618903],501,20,[18.48111363]
[0.05067263],[0.59618886],501,20,[18.48111363]
[0.05663375],[0.5961887],501,20,[18.48111363]
[0.06259482],[0.59618853],501,20,[18.48111363]
[0.06855583],[0.59618837],501,20,[18.48111363]
[0.0745168],[0.5961882],501,20,[18.48111363]
[0.08047772],[0.59618804],501,20,[18.48111363]
[0.08643859],[0.59618787],501,20,[18.48111363]
[0.09239943],[0.5961877],501,20,[18.48111363]
[0.09836023],[0.59618754],501,20,[18.48111363]
[0.104321],[0.59618737],501,20,[18.48111363]
[0.11028173],[0.59618721],501,20,[18.48111363]
[0.11624244],[0.59618704],501,20,[18.48111363]
[0.12220312],[0.59618688],501,20,[18.48111363]
[0.12816378],[0.59618671],501,20,[18.48111363]
[0.13412441],[0.59618655],501,20,[18.48111363]
[0.14008502],[0.59618638],501,20,[18.48111363]
[0.14604561],[0.59618621],501,20,[18.48111363]
[0.15200618],[0.59618605],501,20,[18.48111363]
[0.15796674],[0.59618588],501,20,[18.48111363]
[0.16392728],[0.59618572],501,20,[18.48111363]
[0.1698878],[0.59618555],501,20,[18.48111363]
[0.17584831],[0.59618539],501,20,[18.48111363]
[0.18180881],[0.59618522],501,20,[18.48111363]
[0.1877693],[0.59618506],501,20,[18.48111363]
[0.19372977],[0.59618489],501,20,[18.48111363]
[0.19969024],[0.59618472],501,20,[18.48111363]
[0.20565069],[0.59618456],501,20,[18.48111363]
[0.21161114],[0.59618439],501,20,[18.48111363]
[0.21757157],[0.59618423],501,20,[18.48111363]
[0.223532],[0.59618406],501,20,[18.48111363]
[0.22949242],[0.5961839],501,20,[18.48111363]
[0.23545284],[0.59618373],501,20,[18.48111363]
[0.24141324],[0.59618357],501,20,[18.48111363]
[0.24737364],[0.5961834],501,20,[18.48111363]
[0.25333404],[0.59618323],501,20,[18.48111363]
[0.25929443],[0.59618307],501,20,[18.48111363]
[0.26525481],[0.5961829],501,20,[18.48111363]
[0.27121519],[0.59618274],501,20,[18.48111363]
[0.27717557],[0.59618257],501,20,[18.48111363]
[0.28313593],[0.59618241],501,20,[18.48111363]
[0.2890963],[0.59618224],501,20,[18.48111363]
[0.29505666],[0.59618208],501,20,[18.48111363]
[0.30101702],[0.59618191],501,20,[18.48111363]
[0.30697737],[0.59618174],501,20,[18.48111363]
[0.31293772],[0.59618158],501,20,[18.48111363]
[0.31889807],[0.59618141],501,20,[18.48111363]
[0.32485841],[0.59618125],501,20,[18.48111363]
[0.33081875],[0.59618108],501,20,[18.48111363]
[0.33677909],[0.59618092],501,20,[18.48111363]
[0.34273942],[0.59618075],501,20,[18.48111363]
[0.34869975],[0.59618058],501,20,[18.48111363]
[0.35466008],[0.59618042],501,20,[18.48111363]
[0.36062041],[0.59618025],501,20,[18.48111363]
[0.36658073],[0.59618009],501,20,[18.48111363]
[0.37254105],[0.59617992],501,20,[18.48111363]
[0.37850137],[0.59617976],501,20,[18.48111363]
[0.38446168],[0.59617959],501,20,[18.48111363]
[0.390422],[0.59617943],501,20,[18.48111363]
[0.39638231],[0.59617926],501,20,[18.48111363]
[0.40234262],[0.59617909],501,20,[18.48111363]
[0.40830292],[0.59617893],501,20,[18.48111363]
[0.41426323],[0.59617876],501,20,[18.48111363]
[0.42022353],[0.5961786],501,20,[18.48111363]
[0.42618383],[0.59617843],501,20,[18.48111363]
[0.43214413],[0.59617827],501,20,[18.48111363]
[0.43810442],[0.5961781],501,20,[18.48111363]
[0.44406472],[0.59617794],501,20,[18.48111363]
[0.45002501],[0.59617777],501,20,[18.48111363]
[0.4559853],[0.5961776],501,20,[18.48111363]
[0.46194559],[0.59617744],501,20,[18.48111363]
[0.46790587],[0.59617727],501,20,[18.48111363]
[0.47386616],[0.59617711],501,20,[18.48111363]
[0.47982644],[0.59617694],501,20,[18.48111363]
[0.48578672],[0.59617678],501,20,[18.48111363]
[0.491747],[0.59617661],501,20,[18.48111363]
[0.49770728],[0.59617645],501,20,[18.48111363]
[0.50366755],[0.59617628],501,20,[18.48111363]
[0.50962783],[0.59617611],501,20,[18.48111363]
[0.5155881],[0.59617595],501,20,[18.48111363]
[0.52154837],[0.59617578],501,20,[18.48111363]
[0.52750864],[0.59617562],501,20,[18.48111363]
[0.5334689],[0.59617545],501,20,[18.48111363]
[0.53942917],[0.59617529],501,20,[18.48111363]
[0.54538943],[0.59617512],501,20,[18.48111363]
[0.55134969],[0.59617496],501,20,[18.48111363]
[0.55730995],[0.59617479],501,20,[18.48111363]
[0.56327021],[0.59617462],501,20,[18.48111363]
[0.56923047],[0.59617446],501,20,[18.48111363]
[0.57519072],[0.59617429],501,20,[18.48111363]
[0.58115097],[0.59617413],501,20,[18.48111363]
[0.58711122],[0.59617396],501,20,[18.48111363]
[0.59307147],[0.5961738],501,20,[18.48111363]
[0.59903172],[0.59617363],501,20,[18.48111363]
[0.60499197],[0.59617347],501,20,[18.48111363]
[0.61095221],[0.5961733],501,20,[18.48111363]
[0.61691245],[0.59617313],501,20,[18.48111363]
[0.62287269],[0.59617297],501,20,[18.48111363]
[0.62883293],[0.5961728],501,20,[18.48111363]
[0.63479317],[0.59617264],501,20,[18.48111363]
[0.64075341],[0.59617247],501,20,[18.48111363]
[0.64671364],[0.59617231],501,20,[18.48111363]
[0.65267387],[0.59617214],501,20,[18.48111363]
[0.6586341],[0.59617197],501,20,[18.48111363]
[0.66459433],[0.59617181],501,20,[18.48111363]
[0.67055456],[0.59617164],501,20,[18.48111363]
[0.67651479],[0.59617148],501,20,[18.48111363]
[0.68247501],[0.59617131],501,20,[18.48111363]
[0.68843523],[0.59617115],501,20,[18.48111363]
[0.69439545],[0.59617098],501,20,[18.48111363]
[0.70035567],[0.59617082],501,20,[18.48111363]
[0.70631589],[0.59617065],501,20,[18.48111363]
[0.7122761],[0.59617048],501,20,[18.48111363]
[0.71823632],[0.59617032],501,20,[18.48111363]
[0.72419653],[0.59617015],501,20,[18.48111363]
[0.73015674],[0.59616999],501,20,[18.48111363]
[0.73611695],[0.59616982],501,20,[18.48111363]
[0.74207716],[0.59616966],501,20,[18.48111363]
[0.74803736],[0.59616949],501,20,[18.48111363]
[0.75399757],[0.59616933],501,20,[18.48111363]
[0.75995777],[0.59616916],501,20,[18.48111363]
[0.76591797],[0.59616899],501,20,[18.48111363]
[0.77187817],[0.59616883],501,20,[18.48111363]
[0.77783837],[0.59616866],501,20,[18.48111363]
[0.78379856],[0.5961685],501,20,[18.48111363]
[0.78975876],[0.59616833],501,20,[18.48111363]
[0.79571895],[0.59616817],501,20,[18.48111363]
[0.80167914],[0.596168],501,20,[18.48111363]
[0.80763933],[0.59616784],501,20,[18.48111363]
[0.81359952],[0.59616767],501,20,[18.48111363]
[0.8195597],[0.5961675],501,20,[18.48111363]
[0.82551989],[0.59616734],501,20,[18.48111363]
[0.83148007],[0.59616717],501,20,[18.48111363]
[0.83744025],[0.59616701],501,20,[18.48111363]
[0.84340043],[0.59616684],501,20,[18.48111363]
[0.84936061],[0.59616668],501,20,[18.48111363]
[0.85532078],[0.59616651],501,20,[18.48111363]
[0.86128096],[0.59616635],501,20,[18.48111363]
[0.86724113],[0.59616618],501,20,[18.48111363]
[0.8732013],[0.59616601],501,20,[18.48111363]
[0.87916147],[0.59616585],501,20,[18.48111363]
[0.88512164],[0.59616568],501,20,[18.48111363]
[0.8910818],[0.59616552],501,20,[18.48111363]
[0.89704197],[0.59616535],501,20,[18.48111363]
[0.90300213],[0.59616519],501,20,[18.48111363]
[0.90896229],[0.59616502],501,20,[18.48111363]
