Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00720593],[1.4412],1201,25,[19.9564353]
[0.02161766],[1.4412],1201,25,[19.9564353]
[0.03602913],[1.44119966],1201,25,[19.9564353]
[0.05044036],[1.44119926],1201,25,[19.9564353]
[0.06485137],[1.44119886],1201,25,[19.9564353]
[0.07926217],[1.44119845],1201,25,[19.9564353]
[0.09367278],[1.44119805],1201,25,[19.9564353]
[0.10808322],[1.44119765],1201,25,[19.9564353]
[0.12249349],[1.44119725],1201,25,[19.9564353]
[0.13690361],[1.44119685],1201,25,[19.9564353]
[0.1513136],[1.44119645],1201,25,[19.9564353]
[0.16572346],[1.44119605],1201,25,[19.9564353]
[0.18013319],[1.44119565],1201,25,[19.9564353]
[0.19454282],[1.44119525],1201,25,[19.9564353]
[0.20895234],[1.44119485],1201,25,[19.9564353]
[0.22336177],[1.44119445],1201,25,[19.9564353]
[0.23777112],[1.44119405],1201,25,[19.9564353]
[0.25218038],[1.44119365],1201,25,[19.9564353]
[0.26658956],[1.44119325],1201,25,[19.9564353]
[0.28099868],[1.44119285],1201,25,[19.9564353]
[0.29540773],[1.44119245],1201,25,[19.9564353]
[0.30981672],[1.44119205],1201,25,[19.9564353]
[0.32422566],[1.44119165],1201,25,[19.9564353]
[0.33863454],[1.44119125],1201,25,[19.9564353]
[0.35304338],[1.44119085],1201,25,[19.9564353]
[0.36745217],[1.44119045],1201,25,[19.9564353]
[0.38186092],[1.44119005],1201,25,[19.9564353]
[0.39626964],[1.44118965],1201,25,[19.9564353]
[0.41067831],[1.44118925],1201,25,[19.9564353]
[0.42508695],[1.44118885],1201,25,[19.9564353]
[0.43949556],[1.44118845],1201,25,[19.9564353]
[0.45390415],[1.44118805],1201,25,[19.9564353]
[0.4683127],[1.44118765],1201,25,[19.9564353]
[0.48272123],[1.44118725],1201,25,[19.9564353]
[0.49712974],[1.44118685],1201,25,[19.9564353]
[0.51153822],[1.44118645],1201,25,[19.9564353]
[0.52594668],[1.44118605],1201,25,[19.9564353]
[0.54035512],[1.44118565],1201,25,[19.9564353]
