Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00120599],[0.2412],201,25,[18.05215396]
[0.00361794],[0.2412],201,25,[18.05215396]
[0.00602985],[0.24119994],201,25,[18.05215396]
[0.00844173],[0.24119988],201,25,[18.05215396]
[0.01085356],[0.24119981],201,25,[18.05215396]
[0.01326536],[0.24119974],201,25,[18.05215396]
[0.01567713],[0.24119967],201,25,[18.05215396]
[0.01808886],[0.24119961],201,25,[18.05215396]
[0.02050058],[0.24119954],201,25,[18.05215396]
[0.02291226],[0.24119947],201,25,[18.05215396]
[0.02532392],[0.24119941],201,25,[18.05215396]
[0.02773557],[0.24119934],201,25,[18.05215396]
[0.03014719],[0.24119927],201,25,[18.05215396]
[0.03255879],[0.24119921],201,25,[18.05215396]
[0.03497038],[0.24119914],201,25,[18.05215396]
[0.03738195],[0.24119907],201,25,[18.05215396]
[0.0397935],[0.241199],201,25,[18.05215396]
[0.04220504],[0.24119894],201,25,[18.05215396]
[0.04461657],[0.24119887],201,25,[18.05215396]
[0.04702809],[0.2411988],201,25,[18.05215396]
[0.0494396],[0.24119874],201,25,[18.05215396]
[0.05185109],[0.24119867],201,25,[18.05215396]
[0.05426258],[0.2411986],201,25,[18.05215396]
[0.05667406],[0.24119854],201,25,[18.05215396]
[0.05908553],[0.24119847],201,25,[18.05215396]
[0.06149699],[0.2411984],201,25,[18.05215396]
[0.06390845],[0.24119833],201,25,[18.05215396]
[0.0663199],[0.24119827],201,25,[18.05215396]
[0.06873134],[0.2411982],201,25,[18.05215396]
[0.07114278],[0.24119813],201,25,[18.05215396]
[0.07355421],[0.24119807],201,25,[18.05215396]
[0.07596564],[0.241198],201,25,[18.05215396]
[0.07837706],[0.24119793],201,25,[18.05215396]
[0.08078848],[0.24119787],201,25,[18.05215396]
[0.0831999],[0.2411978],201,25,[18.05215396]
[0.08561131],[0.24119773],201,25,[18.05215396]
[0.08802272],[0.24119766],201,25,[18.05215396]
[0.09043412],[0.2411976],201,25,[18.05215396]
[0.09284552],[0.24119753],201,25,[18.05215396]
[0.09525692],[0.24119746],201,25,[18.05215396]
[0.09766832],[0.2411974],201,25,[18.05215396]
[0.10007971],[0.24119733],201,25,[18.05215396]
[0.1024911],[0.24119726],201,25,[18.05215396]
[0.10490249],[0.2411972],201,25,[18.05215396]
[0.10731388],[0.24119713],201,25,[18.05215396]
[0.10972526],[0.24119706],201,25,[18.05215396]
[0.11213665],[0.24119699],201,25,[18.05215396]
[0.11454803],[0.24119693],201,25,[18.05215396]
[0.1169594],[0.24119686],201,25,[18.05215396]
[0.11937078],[0.24119679],201,25,[18.05215396]
[0.12178216],[0.24119673],201,25,[18.05215396]
[0.12419353],[0.24119666],201,25,[18.05215396]
[0.12660491],[0.24119659],201,25,[18.05215396]
[0.12901628],[0.24119653],201,25,[18.05215396]
[0.13142765],[0.24119646],201,25,[18.05215396]
[0.13383902],[0.24119639],201,25,[18.05215396]
[0.13625038],[0.24119632],201,25,[18.05215396]
[0.13866175],[0.24119626],201,25,[18.05215396]
[0.14107311],[0.24119619],201,25,[18.05215396]
[0.14348448],[0.24119612],201,25,[18.05215396]
[0.14589584],[0.24119606],201,25,[18.05215396]
[0.1483072],[0.24119599],201,25,[18.05215396]
[0.15071856],[0.24119592],201,25,[18.05215396]
[0.15312992],[0.24119586],201,25,[18.05215396]
[0.15554128],[0.24119579],201,25,[18.05215396]
[0.15795264],[0.24119572],201,25,[18.05215396]
[0.160364],[0.24119566],201,25,[18.05215396]
[0.16277535],[0.24119559],201,25,[18.05215396]
[0.16518671],[0.24119552],201,25,[18.05215396]
[0.16759806],[0.24119545],201,25,[18.05215396]
[0.17000942],[0.24119539],201,25,[18.05215396]
