Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00961056],[1.92213],1701,-10,[16.38145225]
[0.0288315],[1.92213],1701,-10,[16.38145225]
[0.04805209],[1.92212954],1701,-10,[16.38145225]
[0.06727236],[1.92212901],1701,-10,[16.38145225]
[0.08649234],[1.92212847],1701,-10,[16.38145225]
[0.10571204],[1.92212794],1701,-10,[16.38145225]
[0.12493149],[1.9221274],1701,-10,[16.38145225]
[0.1441507],[1.92212687],1701,-10,[16.38145225]
[0.1633697],[1.92212634],1701,-10,[16.38145225]
[0.1825885],[1.9221258],1701,-10,[16.38145225]
[0.20180711],[1.92212527],1701,-10,[16.38145225]
[0.22102555],[1.92212473],1701,-10,[16.38145225]
[0.24024383],[1.9221242],1701,-10,[16.38145225]
[0.25946197],[1.92212367],1701,-10,[16.38145225]
[0.27867997],[1.92212313],1701,-10,[16.38145225]
[0.29789784],[1.9221226],1701,-10,[16.38145225]
[0.31711559],[1.92212206],1701,-10,[16.38145225]
[0.33633324],[1.92212153],1701,-10,[16.38145225]
[0.35555079],[1.922121],1701,-10,[16.38145225]
[0.37476824],[1.92212046],1701,-10,[16.38145225]
[0.39398561],[1.92211993],1701,-10,[16.38145225]
[0.4132029],[1.92211939],1701,-10,[16.38145225]
[0.43242011],[1.92211886],1701,-10,[16.38145225]
[0.45163726],[1.92211833],1701,-10,[16.38145225]
[0.47085434],[1.92211779],1701,-10,[16.38145225]
[0.49007136],[1.92211726],1701,-10,[16.38145225]
[0.50928833],[1.92211672],1701,-10,[16.38145225]
[0.52850524],[1.92211619],1701,-10,[16.38145225]
[0.54772211],[1.92211566],1701,-10,[16.38145225]
[0.56693893],[1.92211512],1701,-10,[16.38145225]
[0.58615571],[1.92211459],1701,-10,[16.38145225]
[0.60537245],[1.92211405],1701,-10,[16.38145225]
[0.62458916],[1.92211352],1701,-10,[16.38145225]
[0.64380583],[1.92211299],1701,-10,[16.38145225]
[0.66302247],[1.92211245],1701,-10,[16.38145225]
[0.68223908],[1.92211192],1701,-10,[16.38145225]
[0.70145566],[1.92211138],1701,-10,[16.38145225]
[0.72067221],[1.92211085],1701,-10,[16.38145225]
[0.73988875],[1.92211032],1701,-10,[16.38145225]
[0.75910525],[1.92210978],1701,-10,[16.38145225]
[0.77832174],[1.92210925],1701,-10,[16.38145225]
[0.79753821],[1.92210871],1701,-10,[16.38145225]
[0.81675465],[1.92210818],1701,-10,[16.38145225]
[0.83597108],[1.92210765],1701,-10,[16.38145225]
[0.85518749],[1.92210711],1701,-10,[16.38145225]
[0.87440389],[1.92210658],1701,-10,[16.38145225]
[0.89362027],[1.92210604],1701,-10,[16.38145225]
[0.91283664],[1.92210551],1701,-10,[16.38145225]
[0.93205299],[1.92210498],1701,-10,[16.38145225]
[0.95126933],[1.92210444],1701,-10,[16.38145225]
[0.97048565],[1.92210391],1701,-10,[16.38145225]
[0.98970196],[1.92210337],1701,-10,[16.38145225]
[1.00891827],[1.92210284],1701,-10,[16.38145225]
[1.02813456],[1.92210231],1701,-10,[16.38145225]
[1.04735084],[1.92210177],1701,-10,[16.38145225]
[1.06656711],[1.92210124],1701,-10,[16.38145225]
[1.08578337],[1.9221007],1701,-10,[16.38145225]
[1.10499962],[1.92210017],1701,-10,[16.38145225]
[1.12421586],[1.92209963],1701,-10,[16.38145225]
[1.14343209],[1.9220991],1701,-10,[16.38145225]
[1.16264831],[1.92209857],1701,-10,[16.38145225]
[1.18186453],[1.92209803],1701,-10,[16.38145225]
[1.20108074],[1.9220975],1701,-10,[16.38145225]
[1.22029694],[1.92209696],1701,-10,[16.38145225]
[1.23951313],[1.92209643],1701,-10,[16.38145225]
[1.25872931],[1.9220959],1701,-10,[16.38145225]
[1.27794549],[1.92209536],1701,-10,[16.38145225]
[1.29716166],[1.92209483],1701,-10,[16.38145225]
[1.31637782],[1.92209429],1701,-10,[16.38145225]
[1.33559398],[1.92209376],1701,-10,[16.38145225]
[1.35481012],[1.92209322],1701,-10,[16.38145225]
[1.37402627],[1.92209269],1701,-10,[16.38145225]
[1.3932424],[1.92209216],1701,-10,[16.38145225]
[1.41245853],[1.92209162],1701,-10,[16.38145225]
[1.43167465],[1.92209109],1701,-10,[16.38145225]
[1.45089077],[1.92209055],1701,-10,[16.38145225]
[1.47010688],[1.92209002],1701,-10,[16.38145225]
[1.48932298],[1.92208948],1701,-10,[16.38145225]
[1.50853908],[1.92208895],1701,-10,[16.38145225]
[1.52775517],[1.92208842],1701,-10,[16.38145225]
[1.54697126],[1.92208788],1701,-10,[16.38145225]
[1.56618734],[1.92208735],1701,-10,[16.38145225]
[1.58540341],[1.92208681],1701,-10,[16.38145225]
[1.60461948],[1.92208628],1701,-10,[16.38145225]
[1.62383554],[1.92208574],1701,-10,[16.38145225]
[1.64305159],[1.92208521],1701,-10,[16.38145225]
[1.66226764],[1.92208467],1701,-10,[16.38145225]
[1.68148369],[1.92208414],1701,-10,[16.38145225]
[1.70069973],[1.92208361],1701,-10,[16.38145225]
[1.71991576],[1.92208307],1701,-10,[16.38145225]
[1.73913179],[1.92208254],1701,-10,[16.38145225]
[1.75834781],[1.922082],1701,-10,[16.38145225]
[1.77756383],[1.92208147],1701,-10,[16.38145225]
[1.79677984],[1.92208093],1701,-10,[16.38145225]
[1.81599584],[1.9220804],1701,-10,[16.38145225]
[1.83521184],[1.92207986],1701,-10,[16.38145225]
[1.85442784],[1.92207933],1701,-10,[16.38145225]
[1.87364383],[1.9220788],1701,-10,[16.38145225]
[1.89285981],[1.92207826],1701,-10,[16.38145225]
[1.91207579],[1.92207773],1701,-10,[16.38145225]
[1.93129176],[1.92207719],1701,-10,[16.38145225]
[1.95050773],[1.92207666],1701,-10,[16.38145225]
[1.96972369],[1.92207612],1701,-10,[16.38145225]
[1.98893964],[1.92207559],1701,-10,[16.38145225]
[2.00815559],[1.92207505],1701,-10,[16.38145225]
[2.02737154],[1.92207452],1701,-10,[16.38145225]
[2.04658748],[1.92207398],1701,-10,[16.38145225]
[2.06580341],[1.92207345],1701,-10,[16.38145225]
[2.08501934],[1.92207291],1701,-10,[16.38145225]
[2.10423526],[1.92207238],1701,-10,[16.38145225]
[2.12345118],[1.92207184],1701,-10,[16.38145225]
[2.14266709],[1.92207131],1701,-10,[16.38145225]
[2.161883],[1.92207077],1701,-10,[16.38145225]
[2.1810989],[1.92207024],1701,-10,[16.38145225]
[2.2003148],[1.92206971],1701,-10,[16.38145225]
[2.21953069],[1.92206917],1701,-10,[16.38145225]
[2.23874658],[1.92206864],1701,-10,[16.38145225]
[2.25796246],[1.9220681],1701,-10,[16.38145225]
[2.27717833],[1.92206757],1701,-10,[16.38145225]
[2.2963942],[1.92206703],1701,-10,[16.38145225]
[2.31561006],[1.9220665],1701,-10,[16.38145225]
[2.33482592],[1.92206596],1701,-10,[16.38145225]
[2.35404178],[1.92206543],1701,-10,[16.38145225]
[2.37325762],[1.92206489],1701,-10,[16.38145225]
[2.39247347],[1.92206436],1701,-10,[16.38145225]
[2.4116893],[1.92206382],1701,-10,[16.38145225]
[2.43090513],[1.92206329],1701,-10,[16.38145225]
[2.45012096],[1.92206275],1701,-10,[16.38145225]
[2.46933678],[1.92206221],1701,-10,[16.38145225]
[2.4885526],[1.92206168],1701,-10,[16.38145225]
[2.50776841],[1.92206114],1701,-10,[16.38145225]
[2.52698421],[1.92206061],1701,-10,[16.38145225]
[2.54620001],[1.92206007],1701,-10,[16.38145225]
[2.56541581],[1.92205954],1701,-10,[16.38145225]
[2.5846316],[1.922059],1701,-10,[16.38145225]
[2.60384738],[1.92205847],1701,-10,[16.38145225]
[2.62306316],[1.92205793],1701,-10,[16.38145225]
[2.64227893],[1.9220574],1701,-10,[16.38145225]
[2.6614947],[1.92205686],1701,-10,[16.38145225]
[2.68071046],[1.92205633],1701,-10,[16.38145225]
[2.69992622],[1.92205579],1701,-10,[16.38145225]
[2.71914197],[1.92205525],1701,-10,[16.38145225]
[2.73835771],[1.92205472],1701,-10,[16.38145225]
[2.75757345],[1.92205418],1701,-10,[16.38145225]
[2.77678919],[1.92205365],1701,-10,[16.38145225]
[2.79600492],[1.92205311],1701,-10,[16.38145225]
[2.81522064],[1.92205258],1701,-10,[16.38145225]
[2.83443636],[1.92205204],1701,-10,[16.38145225]
[2.85365208],[1.9220515],1701,-10,[16.38145225]
[2.87286778],[1.92205097],1701,-10,[16.38145225]
[2.89208349],[1.92205043],1701,-10,[16.38145225]
[2.91129919],[1.9220499],1701,-10,[16.38145225]
[2.93051488],[1.92204936],1701,-10,[16.38145225]
[2.94973057],[1.92204882],1701,-10,[16.38145225]
[2.96894625],[1.92204829],1701,-10,[16.38145225]
[2.98816192],[1.92204775],1701,-10,[16.38145225]
[3.00737759],[1.92204721],1701,-10,[16.38145225]
[3.02659326],[1.92204668],1701,-10,[16.38145225]
[3.04580892],[1.92204614],1701,-10,[16.38145225]
[3.06502457],[1.92204561],1701,-10,[16.38145225]
[3.08424022],[1.92204507],1701,-10,[16.38145225]
[3.10345587],[1.92204453],1701,-10,[16.38145225]
[3.12267151],[1.922044],1701,-10,[16.38145225]
[3.14188714],[1.92204346],1701,-10,[16.38145225]
[3.16110277],[1.92204292],1701,-10,[16.38145225]
[3.18031839],[1.92204239],1701,-10,[16.38145225]
[3.19953401],[1.92204185],1701,-10,[16.38145225]
[3.21874962],[1.92204131],1701,-10,[16.38145225]
[3.23796523],[1.92204078],1701,-10,[16.38145225]
[3.25718083],[1.92204024],1701,-10,[16.38145225]
[3.27639642],[1.9220397],1701,-10,[16.38145225]
[3.29561201],[1.92203916],1701,-10,[16.38145225]
[3.3148276],[1.92203863],1701,-10,[16.38145225]
[3.33404318],[1.92203809],1701,-10,[16.38145225]
[3.35325875],[1.92203755],1701,-10,[16.38145225]
[3.37247432],[1.92203702],1701,-10,[16.38145225]
[3.39168989],[1.92203648],1701,-10,[16.38145225]
[3.41090544],[1.92203594],1701,-10,[16.38145225]
[3.430121],[1.9220354],1701,-10,[16.38145225]
[3.44933654],[1.92203487],1701,-10,[16.38145225]
[3.46855209],[1.92203433],1701,-10,[16.38145225]
[3.48776762],[1.92203379],1701,-10,[16.38145225]
[3.50698315],[1.92203325],1701,-10,[16.38145225]
[3.52619868],[1.92203271],1701,-10,[16.38145225]
[3.5454142],[1.92203218],1701,-10,[16.38145225]
[3.56462972],[1.92203164],1701,-10,[16.38145225]
[3.58384523],[1.9220311],1701,-10,[16.38145225]
[3.60306073],[1.92203056],1701,-10,[16.38145225]
[3.62227623],[1.92203002],1701,-10,[16.38145225]
[3.64149172],[1.92202948],1701,-10,[16.38145225]
[3.66070721],[1.92202895],1701,-10,[16.38145225]
[3.67992269],[1.92202841],1701,-10,[16.38145225]
[3.69913817],[1.92202787],1701,-10,[16.38145225]
[3.71835364],[1.92202733],1701,-10,[16.38145225]
[3.73756911],[1.92202679],1701,-10,[16.38145225]
[3.75678457],[1.92202625],1701,-10,[16.38145225]
[3.77600003],[1.92202571],1701,-10,[16.38145225]
[3.79521548],[1.92202517],1701,-10,[16.38145225]
[3.81443092],[1.92202463],1701,-10,[16.38145225]
[3.83364636],[1.92202409],1701,-10,[16.38145225]
[3.8528618],[1.92202355],1701,-10,[16.38145225]
[3.87207723],[1.92202301],1701,-10,[16.38145225]
[3.89129265],[1.92202247],1701,-10,[16.38145225]
[3.91050807],[1.92202193],1701,-10,[16.38145225]
[3.92972348],[1.92202139],1701,-10,[16.38145225]
[3.94893889],[1.92202085],1701,-10,[16.38145225]
[3.96815429],[1.92202031],1701,-10,[16.38145225]
[3.98736969],[1.92201977],1701,-10,[16.38145225]
[4.00658508],[1.92201923],1701,-10,[16.38145225]
[4.02580046],[1.92201869],1701,-10,[16.38145225]
[4.04501584],[1.92201815],1701,-10,[16.38145225]
[4.06423122],[1.92201761],1701,-10,[16.38145225]
[4.08344659],[1.92201707],1701,-10,[16.38145225]
[4.10266195],[1.92201653],1701,-10,[16.38145225]
[4.12187731],[1.92201598],1701,-10,[16.38145225]
[4.14109266],[1.92201544],1701,-10,[16.38145225]
[4.16030801],[1.9220149],1701,-10,[16.38145225]
[4.17952335],[1.92201436],1701,-10,[16.38145225]
[4.19873869],[1.92201382],1701,-10,[16.38145225]
[4.21795402],[1.92201327],1701,-10,[16.38145225]
[4.23716935],[1.92201273],1701,-10,[16.38145225]
[4.25638467],[1.92201219],1701,-10,[16.38145225]
[4.27559999],[1.92201165],1701,-10,[16.38145225]
[4.2948153],[1.9220111],1701,-10,[16.38145225]
[4.3140306],[1.92201056],1701,-10,[16.38145225]
[4.3332459],[1.92201002],1701,-10,[16.38145225]
[4.35246119],[1.92200947],1701,-10,[16.38145225]
[4.37167648],[1.92200893],1701,-10,[16.38145225]
[4.39089176],[1.92200839],1701,-10,[16.38145225]
[4.41010704],[1.92200784],1701,-10,[16.38145225]
[4.42932231],[1.9220073],1701,-10,[16.38145225]
[4.44853758],[1.92200675],1701,-10,[16.38145225]
[4.46775284],[1.92200621],1701,-10,[16.38145225]
[4.4869681],[1.92200566],1701,-10,[16.38145225]
[4.50618335],[1.92200512],1701,-10,[16.38145225]
[4.52539859],[1.92200457],1701,-10,[16.38145225]
[4.54461383],[1.92200403],1701,-10,[16.38145225]
[4.56382906],[1.92200348],1701,-10,[16.38145225]
[4.58304429],[1.92200293],1701,-10,[16.38145225]
[4.60225951],[1.92200239],1701,-10,[16.38145225]
[4.62147473],[1.92200184],1701,-10,[16.38145225]
[4.64068994],[1.92200129],1701,-10,[16.38145225]
[4.65990515],[1.92200075],1701,-10,[16.38145225]
[4.67912035],[1.9220002],1701,-10,[16.38145225]
[4.69833555],[1.92199965],1701,-10,[16.38145225]
[4.71755074],[1.9219991],1701,-10,[16.38145225]
[4.73676592],[1.92199856],1701,-10,[16.38145225]
[4.7559811],[1.92199801],1701,-10,[16.38145225]
[4.77519627],[1.92199746],1701,-10,[16.38145225]
[4.79441144],[1.92199691],1701,-10,[16.38145225]
[4.8136266],[1.92199636],1701,-10,[16.38145225]
[4.83284176],[1.92199581],1701,-10,[16.38145225]
[4.85205691],[1.92199526],1701,-10,[16.38145225]
[4.87127206],[1.92199471],1701,-10,[16.38145225]
[4.8904872],[1.92199416],1701,-10,[16.38145225]
[4.90970233],[1.92199361],1701,-10,[16.38145225]
[4.92891746],[1.92199306],1701,-10,[16.38145225]
[4.94813259],[1.9219925],1701,-10,[16.38145225]
[4.96734771],[1.92199195],1701,-10,[16.38145225]
[4.98656282],[1.9219914],1701,-10,[16.38145225]
[5.00577793],[1.92199085],1701,-10,[16.38145225]
[5.02499303],[1.92199029],1701,-10,[16.38145225]
[5.04420812],[1.92198974],1701,-10,[16.38145225]
[5.06342322],[1.92198919],1701,-10,[16.38145225]
[5.0826383],[1.92198863],1701,-10,[16.38145225]
[5.10185338],[1.92198808],1701,-10,[16.38145225]
[5.12106845],[1.92198752],1701,-10,[16.38145225]
[5.14028352],[1.92198697],1701,-10,[16.38145225]
[5.15949859],[1.92198641],1701,-10,[16.38145225]
[5.17871364],[1.92198585],1701,-10,[16.38145225]
[5.1979287],[1.9219853],1701,-10,[16.38145225]
[5.21714374],[1.92198474],1701,-10,[16.38145225]
[5.23635878],[1.92198418],1701,-10,[16.38145225]
[5.25557382],[1.92198362],1701,-10,[16.38145225]
[5.27478885],[1.92198306],1701,-10,[16.38145225]
[5.29400387],[1.9219825],1701,-10,[16.38145225]
