Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.01276568],[2.55316],2201,5,[18.3329559]
[0.0382968],[2.55316],2201,5,[18.3329559]
[0.06382746],[2.55315939],2201,5,[18.3329559]
[0.08935769],[2.55315868],2201,5,[18.3329559]
[0.11488754],[2.55315797],2201,5,[18.3329559]
[0.14041701],[2.55315726],2201,5,[18.3329559]
[0.16594615],[2.55315655],2201,5,[18.3329559]
[0.19147498],[2.55315584],2201,5,[18.3329559]
[0.21700353],[2.55315513],2201,5,[18.3329559]
[0.2425318],[2.55315443],2201,5,[18.3329559]
[0.26805983],[2.55315372],2201,5,[18.3329559]
[0.29358763],[2.55315301],2201,5,[18.3329559]
[0.31911522],[2.5531523],2201,5,[18.3329559]
[0.34464262],[2.55315159],2201,5,[18.3329559]
[0.37016983],[2.55315088],2201,5,[18.3329559]
[0.39569688],[2.55315017],2201,5,[18.3329559]
[0.42122377],[2.55314946],2201,5,[18.3329559]
[0.44675052],[2.55314875],2201,5,[18.3329559]
[0.47227714],[2.55314804],2201,5,[18.3329559]
[0.49780363],[2.55314733],2201,5,[18.3329559]
[0.52333001],[2.55314662],2201,5,[18.3329559]
[0.54885628],[2.55314591],2201,5,[18.3329559]
[0.57438245],[2.55314521],2201,5,[18.3329559]
[0.59990853],[2.5531445],2201,5,[18.3329559]
[0.62543453],[2.55314379],2201,5,[18.3329559]
[0.65096044],[2.55314308],2201,5,[18.3329559]
[0.67648629],[2.55314237],2201,5,[18.3329559]
[0.70201206],[2.55314166],2201,5,[18.3329559]
[0.72753777],[2.55314095],2201,5,[18.3329559]
[0.75306342],[2.55314024],2201,5,[18.3329559]
[0.77858902],[2.55313953],2201,5,[18.3329559]
[0.80411456],[2.55313882],2201,5,[18.3329559]
[0.82964006],[2.55313811],2201,5,[18.3329559]
[0.85516551],[2.5531374],2201,5,[18.3329559]
[0.88069092],[2.5531367],2201,5,[18.3329559]
[0.90621629],[2.55313599],2201,5,[18.3329559]
[0.93174163],[2.55313528],2201,5,[18.3329559]
[0.95726692],[2.55313457],2201,5,[18.3329559]
[0.98279219],[2.55313386],2201,5,[18.3329559]
[1.00831742],[2.55313315],2201,5,[18.3329559]
[1.03384263],[2.55313244],2201,5,[18.3329559]
[1.05936781],[2.55313173],2201,5,[18.3329559]
[1.08489296],[2.55313102],2201,5,[18.3329559]
[1.11041809],[2.55313031],2201,5,[18.3329559]
[1.1359432],[2.5531296],2201,5,[18.3329559]
[1.16146829],[2.55312889],2201,5,[18.3329559]
[1.18699335],[2.55312818],2201,5,[18.3329559]
[1.2125184],[2.55312748],2201,5,[18.3329559]
[1.23804342],[2.55312677],2201,5,[18.3329559]
[1.26356843],[2.55312606],2201,5,[18.3329559]
[1.28909343],[2.55312535],2201,5,[18.3329559]
[1.3146184],[2.55312464],2201,5,[18.3329559]
[1.34014336],[2.55312393],2201,5,[18.3329559]
[1.36566831],[2.55312322],2201,5,[18.3329559]
[1.39119324],[2.55312251],2201,5,[18.3329559]
[1.41671816],[2.5531218],2201,5,[18.3329559]
[1.44224307],[2.55312109],2201,5,[18.3329559]
[1.46776796],[2.55312038],2201,5,[18.3329559]
[1.49329284],[2.55311967],2201,5,[18.3329559]
[1.51881771],[2.55311896],2201,5,[18.3329559]
[1.54434256],[2.55311825],2201,5,[18.3329559]
[1.56986741],[2.55311755],2201,5,[18.3329559]
[1.59539225],[2.55311684],2201,5,[18.3329559]
[1.62091707],[2.55311613],2201,5,[18.3329559]
[1.64644189],[2.55311542],2201,5,[18.3329559]
[1.67196669],[2.55311471],2201,5,[18.3329559]
[1.69749149],[2.553114],2201,5,[18.3329559]
[1.72301627],[2.55311329],2201,5,[18.3329559]
[1.74854105],[2.55311258],2201,5,[18.3329559]
[1.77406581],[2.55311187],2201,5,[18.3329559]
[1.79959057],[2.55311116],2201,5,[18.3329559]
[1.82511532],[2.55311045],2201,5,[18.3329559]
[1.85064006],[2.55310974],2201,5,[18.3329559]
[1.87616479],[2.55310903],2201,5,[18.3329559]
[1.90168951],[2.55310832],2201,5,[18.3329559]
[1.92721423],[2.55310761],2201,5,[18.3329559]
[1.95273893],[2.5531069],2201,5,[18.3329559]
[1.97826363],[2.55310619],2201,5,[18.3329559]
[2.00378832],[2.55310549],2201,5,[18.3329559]
[2.029313],[2.55310478],2201,5,[18.3329559]
[2.05483767],[2.55310407],2201,5,[18.3329559]
[2.08036234],[2.55310336],2201,5,[18.3329559]
[2.105887],[2.55310265],2201,5,[18.3329559]
[2.13141165],[2.55310194],2201,5,[18.3329559]
[2.15693629],[2.55310123],2201,5,[18.3329559]
[2.18246093],[2.55310052],2201,5,[18.3329559]
[2.20798555],[2.55309981],2201,5,[18.3329559]
[2.23351017],[2.5530991],2201,5,[18.3329559]
[2.25903478],[2.55309839],2201,5,[18.3329559]
[2.28455939],[2.55309768],2201,5,[18.3329559]
[2.31008398],[2.55309697],2201,5,[18.3329559]
[2.33560857],[2.55309626],2201,5,[18.3329559]
[2.36113316],[2.55309555],2201,5,[18.3329559]
[2.38665773],[2.55309484],2201,5,[18.3329559]
[2.4121823],[2.55309413],2201,5,[18.3329559]
[2.43770686],[2.55309342],2201,5,[18.3329559]
[2.46323141],[2.55309271],2201,5,[18.3329559]
[2.48875596],[2.553092],2201,5,[18.3329559]
[2.51428049],[2.55309129],2201,5,[18.3329559]
[2.53980502],[2.55309058],2201,5,[18.3329559]
[2.56532955],[2.55308987],2201,5,[18.3329559]
[2.59085406],[2.55308916],2201,5,[18.3329559]
[2.61637857],[2.55308845],2201,5,[18.3329559]
[2.64190307],[2.55308774],2201,5,[18.3329559]
[2.66742757],[2.55308703],2201,5,[18.3329559]
[2.69295205],[2.55308632],2201,5,[18.3329559]
[2.71847653],[2.55308561],2201,5,[18.3329559]
[2.74400101],[2.5530849],2201,5,[18.3329559]
[2.76952547],[2.55308419],2201,5,[18.3329559]
[2.79504993],[2.55308348],2201,5,[18.3329559]
[2.82057438],[2.55308277],2201,5,[18.3329559]
[2.84609883],[2.55308206],2201,5,[18.3329559]
[2.87162326],[2.55308135],2201,5,[18.3329559]
[2.89714769],[2.55308064],2201,5,[18.3329559]
[2.92267211],[2.55307993],2201,5,[18.3329559]
[2.94819653],[2.55307922],2201,5,[18.3329559]
[2.97372094],[2.55307851],2201,5,[18.3329559]
[2.99924534],[2.5530778],2201,5,[18.3329559]
[3.02476973],[2.55307709],2201,5,[18.3329559]
[3.05029412],[2.55307638],2201,5,[18.3329559]
[3.0758185],[2.55307567],2201,5,[18.3329559]
[3.10134287],[2.55307496],2201,5,[18.3329559]
[3.12686724],[2.55307425],2201,5,[18.3329559]
[3.1523916],[2.55307354],2201,5,[18.3329559]
[3.17791595],[2.55307283],2201,5,[18.3329559]
[3.20344029],[2.55307212],2201,5,[18.3329559]
[3.22896463],[2.55307141],2201,5,[18.3329559]
[3.25448896],[2.5530707],2201,5,[18.3329559]
[3.28001328],[2.55306999],2201,5,[18.3329559]
[3.30553759],[2.55306928],2201,5,[18.3329559]
[3.3310619],[2.55306857],2201,5,[18.3329559]
[3.3565862],[2.55306786],2201,5,[18.3329559]
[3.3821105],[2.55306714],2201,5,[18.3329559]
[3.40763479],[2.55306643],2201,5,[18.3329559]
[3.43315906],[2.55306572],2201,5,[18.3329559]
[3.45868334],[2.55306501],2201,5,[18.3329559]
[3.4842076],[2.5530643],2201,5,[18.3329559]
[3.50973186],[2.55306359],2201,5,[18.3329559]
[3.53525611],[2.55306288],2201,5,[18.3329559]
[3.56078036],[2.55306217],2201,5,[18.3329559]
