Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.00176083],[0.35217],301,10,[16.88985941]
[0.00528247],[0.35217],301,10,[16.88985941]
[0.00880404],[0.35216992],301,10,[16.88985941]
[0.01232555],[0.35216982],301,10,[16.88985941]
[0.01584701],[0.35216972],301,10,[16.88985941]
[0.01936841],[0.35216962],301,10,[16.88985941]
[0.02288977],[0.35216952],301,10,[16.88985941]
[0.02641109],[0.35216943],301,10,[16.88985941]
[0.02993237],[0.35216933],301,10,[16.88985941]
[0.03345361],[0.35216923],301,10,[16.88985941]
[0.03697482],[0.35216913],301,10,[16.88985941]
[0.040496],[0.35216904],301,10,[16.88985941]
[0.04401714],[0.35216894],301,10,[16.88985941]
[0.04753826],[0.35216884],301,10,[16.88985941]
[0.05105936],[0.35216874],301,10,[16.88985941]
[0.05458043],[0.35216864],301,10,[16.88985941]
[0.05810148],[0.35216855],301,10,[16.88985941]
[0.06162251],[0.35216845],301,10,[16.88985941]
[0.06514352],[0.35216835],301,10,[16.88985941]
[0.06866452],[0.35216825],301,10,[16.88985941]
[0.0721855],[0.35216816],301,10,[16.88985941]
[0.07570646],[0.35216806],301,10,[16.88985941]
[0.07922742],[0.35216796],301,10,[16.88985941]
[0.08274835],[0.35216786],301,10,[16.88985941]
[0.08626928],[0.35216776],301,10,[16.88985941]
[0.0897902],[0.35216767],301,10,[16.88985941]
[0.0933111],[0.35216757],301,10,[16.88985941]
[0.096832],[0.35216747],301,10,[16.88985941]
[0.10035289],[0.35216737],301,10,[16.88985941]
[0.10387377],[0.35216727],301,10,[16.88985941]
[0.10739464],[0.35216718],301,10,[16.88985941]
[0.1109155],[0.35216708],301,10,[16.88985941]
[0.11443636],[0.35216698],301,10,[16.88985941]
[0.11795721],[0.35216688],301,10,[16.88985941]
[0.12147806],[0.35216679],301,10,[16.88985941]
[0.1249989],[0.35216669],301,10,[16.88985941]
[0.12851974],[0.35216659],301,10,[16.88985941]
[0.13204057],[0.35216649],301,10,[16.88985941]
[0.13556139],[0.35216639],301,10,[16.88985941]
[0.13908221],[0.3521663],301,10,[16.88985941]
[0.14260303],[0.3521662],301,10,[16.88985941]
[0.14612385],[0.3521661],301,10,[16.88985941]
[0.14964466],[0.352166],301,10,[16.88985941]
[0.15316547],[0.35216591],301,10,[16.88985941]
[0.15668627],[0.35216581],301,10,[16.88985941]
[0.16020707],[0.35216571],301,10,[16.88985941]
[0.16372787],[0.35216561],301,10,[16.88985941]
[0.16724867],[0.35216551],301,10,[16.88985941]
[0.17076946],[0.35216542],301,10,[16.88985941]
[0.17429025],[0.35216532],301,10,[16.88985941]
[0.17781104],[0.35216522],301,10,[16.88985941]
[0.18133183],[0.35216512],301,10,[16.88985941]
[0.18485261],[0.35216503],301,10,[16.88985941]
[0.18837339],[0.35216493],301,10,[16.88985941]
[0.19189417],[0.35216483],301,10,[16.88985941]
[0.19541495],[0.35216473],301,10,[16.88985941]
[0.19893573],[0.35216463],301,10,[16.88985941]
[0.2024565],[0.35216454],301,10,[16.88985941]
[0.20597728],[0.35216444],301,10,[16.88985941]
[0.20949805],[0.35216434],301,10,[16.88985941]
[0.21301882],[0.35216424],301,10,[16.88985941]
[0.21653958],[0.35216414],301,10,[16.88985941]
[0.22006035],[0.35216405],301,10,[16.88985941]
[0.22358112],[0.35216395],301,10,[16.88985941]
[0.22710188],[0.35216385],301,10,[16.88985941]
[0.23062264],[0.35216375],301,10,[16.88985941]
[0.23414341],[0.35216366],301,10,[16.88985941]
[0.23766417],[0.35216356],301,10,[16.88985941]
[0.24118492],[0.35216346],301,10,[16.88985941]
[0.24470568],[0.35216336],301,10,[16.88985941]
[0.24822644],[0.35216326],301,10,[16.88985941]
[0.25174719],[0.35216317],301,10,[16.88985941]
[0.25526795],[0.35216307],301,10,[16.88985941]
[0.2587887],[0.35216297],301,10,[16.88985941]
[0.26230945],[0.35216287],301,10,[16.88985941]
[0.2658302],[0.35216278],301,10,[16.88985941]
[0.26935095],[0.35216268],301,10,[16.88985941]
[0.2728717],[0.35216258],301,10,[16.88985941]
[0.27639244],[0.35216248],301,10,[16.88985941]
[0.27991319],[0.35216238],301,10,[16.88985941]
[0.28343393],[0.35216229],301,10,[16.88985941]
[0.28695468],[0.35216219],301,10,[16.88985941]
[0.29047542],[0.35216209],301,10,[16.88985941]
[0.29399616],[0.35216199],301,10,[16.88985941]
[0.2975169],[0.3521619],301,10,[16.88985941]
[0.30103764],[0.3521618],301,10,[16.88985941]
[0.30455838],[0.3521617],301,10,[16.88985941]
[0.30807912],[0.3521616],301,10,[16.88985941]
[0.31159985],[0.3521615],301,10,[16.88985941]
[0.31512059],[0.35216141],301,10,[16.88985941]
[0.31864132],[0.35216131],301,10,[16.88985941]
[0.32216206],[0.35216121],301,10,[16.88985941]
[0.32568279],[0.35216111],301,10,[16.88985941]
[0.32920352],[0.35216102],301,10,[16.88985941]
[0.33272425],[0.35216092],301,10,[16.88985941]
[0.33624498],[0.35216082],301,10,[16.88985941]
[0.33976571],[0.35216072],301,10,[16.88985941]
[0.34328643],[0.35216062],301,10,[16.88985941]
[0.34680716],[0.35216053],301,10,[16.88985941]
[0.35032788],[0.35216043],301,10,[16.88985941]
[0.35384861],[0.35216033],301,10,[16.88985941]
[0.35736933],[0.35216023],301,10,[16.88985941]
[0.36089005],[0.35216013],301,10,[16.88985941]
[0.36441077],[0.35216004],301,10,[16.88985941]
[0.36793149],[0.35215994],301,10,[16.88985941]
[0.37145221],[0.35215984],301,10,[16.88985941]
[0.37497293],[0.35215974],301,10,[16.88985941]
[0.37849365],[0.35215965],301,10,[16.88985941]
[0.38201436],[0.35215955],301,10,[16.88985941]
[0.38553508],[0.35215945],301,10,[16.88985941]
[0.38905579],[0.35215935],301,10,[16.88985941]
[0.3925765],[0.35215925],301,10,[16.88985941]
[0.39609722],[0.35215916],301,10,[16.88985941]
[0.39961793],[0.35215906],301,10,[16.88985941]
[0.40313864],[0.35215896],301,10,[16.88985941]
