Vout,Iout,Irradiance,Temperature,MaxVoltage
[0.005451],[1.09021],901,30,[20.19015258]
[0.01635289],[1.09021],901,30,[20.19015258]
[0.02725459],[1.09020974],901,30,[20.19015258]
[0.03815611],[1.09020944],901,30,[20.19015258]
[0.04905746],[1.09020913],901,30,[20.19015258]
[0.05995865],[1.09020883],901,30,[20.19015258]
[0.0708597],[1.09020853],901,30,[20.19015258]
[0.08176062],[1.09020823],901,30,[20.19015258]
[0.09266141],[1.09020792],901,30,[20.19015258]
[0.10356209],[1.09020762],901,30,[20.19015258]
[0.11446267],[1.09020732],901,30,[20.19015258]
[0.12536315],[1.09020701],901,30,[20.19015258]
[0.13626354],[1.09020671],901,30,[20.19015258]
[0.14716384],[1.09020641],901,30,[20.19015258]
[0.15806407],[1.09020611],901,30,[20.19015258]
[0.16896422],[1.0902058],901,30,[20.19015258]
[0.17986431],[1.0902055],901,30,[20.19015258]
[0.19076434],[1.0902052],901,30,[20.19015258]
[0.20166431],[1.09020489],901,30,[20.19015258]
[0.21256423],[1.09020459],901,30,[20.19015258]
[0.2234641],[1.09020429],901,30,[20.19015258]
[0.23436393],[1.09020399],901,30,[20.19015258]
[0.24526371],[1.09020368],901,30,[20.19015258]
[0.25616345],[1.09020338],901,30,[20.19015258]
[0.26706316],[1.09020308],901,30,[20.19015258]
[0.27796283],[1.09020278],901,30,[20.19015258]
[0.28886247],[1.09020247],901,30,[20.19015258]
[0.29976209],[1.09020217],901,30,[20.19015258]
[0.31066167],[1.09020187],901,30,[20.19015258]
[0.32156123],[1.09020156],901,30,[20.19015258]
[0.33246077],[1.09020126],901,30,[20.19015258]
[0.34336028],[1.09020096],901,30,[20.19015258]
[0.35425978],[1.09020066],901,30,[20.19015258]
[0.36515925],[1.09020035],901,30,[20.19015258]
[0.37605871],[1.09020005],901,30,[20.19015258]
[0.38695815],[1.09019975],901,30,[20.19015258]
[0.39785757],[1.09019944],901,30,[20.19015258]
[0.40875698],[1.09019914],901,30,[20.19015258]
[0.41965638],[1.09019884],901,30,[20.19015258]
[0.43055576],[1.09019854],901,30,[20.19015258]
[0.44145513],[1.09019823],901,30,[20.19015258]
[0.45235449],[1.09019793],901,30,[20.19015258]
[0.46325383],[1.09019763],901,30,[20.19015258]
[0.47415317],[1.09019733],901,30,[20.19015258]
[0.4850525],[1.09019702],901,30,[20.19015258]
[0.49595182],[1.09019672],901,30,[20.19015258]
[0.50685113],[1.09019642],901,30,[20.19015258]
[0.51775043],[1.09019611],901,30,[20.19015258]
[0.52864972],[1.09019581],901,30,[20.19015258]
